IPAddress,ResponseId,BirthYear,Major,Politics,Ethnicity,Gender
50.5.166.87,R_2bqCfAfxocV8YxP,2001,Sociology ,2,Black or African American,Male
129.137.96.20,R_33lFaSYQynm15oF,2002,exploratory,2,White,Female
129.137.28.238,R_2z6by9xs8TVm8vx,2001,nursing,5,White,Female
71.64.18.227,R_3n1vKHC1L6Fli7n,2002,astrophysics/physics,2,White,Female
208.102.165.239,R_2tzLEeI6ynkwNPV,2001,Nursing,5,White,Male
50.5.66.66,R_paDDLpu71Eec8cF,2003,CCP Student,2,White,Female
129.137.96.12,R_2AM41gBRq2G8LCv,2001,Exploratory,3,White,Male
129.137.96.12,R_3HhpXRigyQU3IdP,2001,Exploratory,3,White,Male
74.215.102.126,R_2rB0uLsJLbKezza,2002,Pre-Nursing,4,White_Black or African American,Male
71.72.121.13,R_31nmlPiX0JNyzjN,2000,Health Sciences,1,White,Female
129.137.96.19,R_12M5JKKCF2E3Gjh,2002,Exploratory,6,White,Male
129.137.96.9,R_1FkMa51xjOKjRkO,2002,Health Sciences Pre-Med,3,Black or African American,Female
129.137.96.2,R_1HesO4bkbo4Pvhc,2002,Biology,3,White,Female
50.5.93.205,R_3huSVgz6YdpWoUm,2001,Pre-health,4,White,Male
24.208.232.62,R_1lyqJceiLd6e7N4,2002,undecided,3,White,Female
129.137.96.14,R_1Nq38xcP7MnRoc0,2001,Nutrition and Dietetics ,6,White_Other_Puerto Rican,Female
208.102.160.147,R_1d49npMMNNzYGbH,2000,Medical Sciences,4,White,Female
72.49.250.173,R_2aVTDXXTfoikf6q,2003,Psychology,2,White,Female
98.29.50.147,R_3J9psXkhNIiVYk0,2000,psych,3,White,Female
129.137.96.2,R_1nPj0A0jZVDgjqU,2002,Nursing,5,White,Female
129.137.96.16,R_AGxeSB8rEs6AWpX,2002,Undecided,3,White,Female
50.5.198.195,R_wSN1N47egwRcc1j,2001,engineering,4,White,Male
98.28.137.145,R_2OPcnCVbfKsapGP,2002,Business Administration,5,White,Male
72.49.45.44,R_3esFgBFoYNFYaP4,1997,Electrical Engineering,3,White,Male
129.137.96.17,R_cwmBUEHqhY7QbQt,2002,Nutrition and Dietetics,4,White,Female
65.27.240.234,R_3qJSaS8toe4IcQy,2002,chemical engineering,3,White,Female
129.137.96.16,R_1jWjixT7Sv4VOKL,2001,Sports Administration,3,Black or African American,Female
65.28.242.89,R_TaPyt1jmn7s6bfP,1999,Political Science,1,White,Male
98.28.137.145,R_2b2HhBZWv3p3zPL,2002,Business Administration,5,White,Male
184.54.48.31,R_31NRi3MIu3CJiag,2001,Business Analytics,5,White,Male
174.103.17.43,R_3QQyOpvltbKCJbA,2002,Criminal Justice with a minor in Psychology,3,Black or African American,Female
50.5.94.103,R_27ey9dyu4RFTkN3,2000,Actuarial Sciences,3,White,Female
184.54.36.209,R_D81cYKBKy1pur4d,1980,Art History ,3,White,Female
129.137.96.10,R_2CkcK56sTjuescU,2001,Nursing,3,White,Female
129.137.96.11,R_3O7DiV0yMWFRq2m,2002,Neuroscience,3,White,Female
73.146.36.119,R_1N4X8Is4IBN18hK,2001,Criminal Justice,4,White,Male
129.137.96.20,R_27Tfatbnxh2njwi,2002,Nursing ,4,Asian,Female
70.237.11.243,R_2TSFTkP1IOhpktf,2002,Sports Administration,2,White,Male
71.64.128.111,R_1QASzpyy8iP62ZR,1995,Biochemistry,3,Black or African American,Prefer not to say
76.232.34.139,R_1o7us29rdchxtlP,1986,Nursing,4,White,Male
68.51.27.104,R_1lhG0Bv9wiiAuHS,2002,Health Sciences Physical Therpay,5,White,Female
108.94.130.4,R_1f8V4BqepxFoO4Q,2001,Chemistry,1,White,Male
172.58.85.54,R_RUA15hlKe1UO9B7,2001,art,3,Black or African American,Genderqueer/Gender Non-Conforming
129.137.96.16,R_OycztwfwNlSnmQV,2001,Nursing,1,White,Female
184.54.160.71,R_1Opf8GXOEO0qUTC,2001,N/A (Exploratory studies),5,White_Asian,Male
129.137.96.5,R_2EuzUij7ltavVOB,2002,Nursing,7,White,Female
208.102.105.218,R_3G1IXyfplVRhlwe,2001,social work,3,Asian,Female
208.102.105.218,R_3RfLwKdHV3tpyAY,2001,social work,3,Asian,Female
184.54.33.76,R_8dmmlbKXxOwBJL3,2001,nursing,4,White,Female
24.209.234.163,R_6YI1ti7om7CIrCN,1997,Fine Arts,3,White,Female
129.137.28.240,R_1M6eqt7FXYLs55l,2002,Psychology,4,White,Female
129.137.96.14,R_1jIKYDlQ39mtLnQ,2002,Biological Sciences,2,White,Female
208.102.160.132,R_DG08uV3fj7nU7SN,2001,Medical Sciences,2,Asian,Female
129.137.96.14,R_2QmMDSgGZ3Dx8oE,2020,Biological Sciences,2,White,Female
129.137.28.245,R_3foE7vnQXR9zxCg,2002,Arts and Science Exploratory,3,White,Female
66.161.232.38,R_2e99VLGVkXNzCHK,2001,Criminal Justice ,6,White,Female
65.28.240.68,R_2ciMmd7YYW0g0xi,1999,Operations Management,1,White,Female
129.137.96.7,R_6Ls3dl3OLGHt8gF,2002,Interdisciplinary Nursing Prep,5,White,Female
74.83.40.85,R_32QO5qQnHuJDz3z,2000,Civil Engineering ,4,White,Male
184.54.10.165,R_tYAiMvmCS5Rt00F,1988,biology cell molecular,3,Black or African American,Female
52.124.36.227,R_dch6euZINWy6UHT,2001,Psychology and Criminal Justice,2,White,Female
174.101.137.52,R_3qJ9WJC1bftnSY4,2001,Sports Admin,5,White,Male
129.137.96.18,R_1JRXzyEb9lTaE9x,2001,Health Sciences Pre-PT,4,White,Male
129.137.28.237,R_3mz2lLPZUsBo03D,2000,Criminal Justice,5,Black or African American,Male
208.102.120.43,R_3I3IEzhEMolBovc,2002,,2,White,Genderqueer/Gender Non-Conforming
129.137.96.15,R_1kYrU4KwYrSrhfN,2002,Biological Sciences on Pre-Med Track ,1,Black or African American,Female
74.83.231.213,R_ZgyoH4tLfgpEqqJ,2000,Early Childhood Education,2,White,Female
129.137.96.15,R_pRebi66FuloBo9H,2002,Nursing ,3,White,Female
129.137.96.2,R_2D5EyqjukCesvd7,2002,Chemsitry,4,White,Female
65.189.77.223,R_1Naf0QbvJV4x7us,2002,Health Science,4,White,Female
