ResponseId,Gender,BirthYear,Occupation,IPAddress
R_2a90FZCz1nUWn3O,1,1978,2,73.242.26.113
R_2a90FZCz1nUWn3O,1,1978,2,73.242.26.113
R_2v9bsn4Ob8ELRdC,1,1970,2,68.226.96.200
R_2v9bsn4Ob8ELRdC,1,1970,2,68.226.96.200
R_2rPFsO30Zm1M0DA,1,1991,2,73.246.222.244
R_2rPFsO30Zm1M0DA,1,1991,2,73.246.222.244
R_STBKh4OPyEJiGel,1,1990,3,172.220.228.23
R_STBKh4OPyEJiGel,1,1990,3,172.220.228.23
R_dbw3rjmI2eMDvm9,0,1987,2,72.24.241.207
R_dbw3rjmI2eMDvm9,0,1987,2,72.24.241.207
R_1Ng1lxtnAuCc8W5,1,1982,2,68.48.151.13
R_1Ng1lxtnAuCc8W5,1,1982,2,68.48.151.13
R_1QDR5eLFxGm00AL,1,1990,2,161.222.160.8
R_1QDR5eLFxGm00AL,1,1990,2,161.222.160.8
R_qQtyGXXEs7txst3,1,1996,3,66.61.11.210
R_qQtyGXXEs7txst3,1,1996,3,66.61.11.210
R_1mwuCqTjjh0EpJG,1,1983,2,66.117.213.187
R_1mwuCqTjjh0EpJG,1,1983,2,66.117.213.187
R_1f7azIawy8i1At5,1,1984,2,67.186.11.212
R_1f7azIawy8i1At5,1,1984,2,67.186.11.212
R_1F8kF6KIrV80tZz,0,1979,2,173.16.96.32
R_1F8kF6KIrV80tZz,0,1979,2,173.16.96.32
R_3n97xjWTemvgEGq,0,1996,1,69.5.154.1
R_3n97xjWTemvgEGq,0,1996,1,69.5.154.1
R_1r2FYq3FrWGCHYQ,0,1958,2,76.7.210.115
R_1r2FYq3FrWGCHYQ,0,1958,2,76.7.210.115
R_8G5Xy93FXQWnCJX,0,1992,2,72.209.17.198
R_8G5Xy93FXQWnCJX,0,1992,2,72.209.17.198
R_3qe6GViQQ6Ynavn,1,1993,2,73.22.119.106
R_3qe6GViQQ6Ynavn,1,1993,2,73.22.119.106
R_5mB4GeZ1VurJ93X,1,1992,2,47.39.141.94
R_5mB4GeZ1VurJ93X,1,1992,2,47.39.141.94
R_3EhayHR8hZ6PD3X,1,1977,2,69.143.139.115
R_3EhayHR8hZ6PD3X,1,1977,2,69.143.139.115
R_1hBerVDuOtDZjl6,0,1990,2,192.3.7.86
R_1hBerVDuOtDZjl6,0,1990,2,192.3.7.86
R_Caa1drK39bCrJQJ,0,1960,3,97.122.212.58
R_Caa1drK39bCrJQJ,0,1960,3,97.122.212.58
R_2PqhMG85Ly5X962,0,1997,1,150.212.127.104
R_2PqhMG85Ly5X962,0,1997,1,150.212.127.104
R_3RsHOFEUUyBndhK,0,1982,2,69.138.143.146
R_3RsHOFEUUyBndhK,0,1982,2,69.138.143.146
R_2rCKTZicvBPTNw6,1,1988,2,198.199.190.140
R_2rCKTZicvBPTNw6,1,1988,2,198.199.190.140
R_2w4s0L1S2I2IUW2,1,1989,2,99.203.93.172
R_2w4s0L1S2I2IUW2,1,1989,2,99.203.93.172
R_2sX4wl2Z6EnuufB,1,1981,3,174.21.71.27
R_2sX4wl2Z6EnuufB,1,1981,3,174.21.71.27
R_1LhQypQ2JwvCimz,1,1989,2,199.227.2.5
R_1LhQypQ2JwvCimz,1,1989,2,199.227.2.5
R_Z4NWKyVntTtBczL,1,1975,2,112.201.125.221
R_Z4NWKyVntTtBczL,1,1975,2,112.201.125.221
R_2Wuo25C8Us07KKf,1,1988,1,70.176.114.11
R_2Wuo25C8Us07KKf,1,1988,1,70.176.114.11
R_2TYGJOCO0aZJqd9,0,1985,5,184.170.80.48
R_2TYGJOCO0aZJqd9,0,1985,5,184.170.80.48
R_2VHEyAPsRtUEhPf,0,1992,2,75.147.69.30
R_2VHEyAPsRtUEhPf,0,1992,2,75.147.69.30
R_vAKws0CZnDf9jRT,0,1981,5,70.189.224.54
R_vAKws0CZnDf9jRT,0,1981,5,70.189.224.54
R_3izpx9OULt6fbL0,0,1984,3,174.219.16.249
R_3izpx9OULt6fbL0,0,1984,3,174.219.16.249
R_8AI52GKK3SpCwal,1,1996,2,173.184.110.214
R_8AI52GKK3SpCwal,1,1996,2,173.184.110.214
R_2cb95bdFXGezsle,0,1979,2,174.198.15.111
R_2cb95bdFXGezsle,0,1979,2,174.198.15.111
R_245G8oEJFLK0x4V,0,1983,2,146.186.82.73
R_245G8oEJFLK0x4V,0,1983,2,146.186.82.73
R_r1GtgZ5Ye1rF3mV,0,1990,2,128.146.182.47
R_r1GtgZ5Ye1rF3mV,0,1990,2,128.146.182.47
R_21iV2G5gepwgiaP,1,1989,2,75.147.39.21
R_21iV2G5gepwgiaP,1,1989,2,75.147.39.21
R_3qIMa22G9LlHZ53,1,1957,2,45.19.1.0
R_3qIMa22G9LlHZ53,1,1957,2,45.19.1.0
R_3HuJI3vLojKDkLb,0,1963,3,97.75.248.100
R_3HuJI3vLojKDkLb,0,1963,3,97.75.248.100
R_3jTByEKHreuH11P,1,1975,2,71.171.84.56
R_3jTByEKHreuH11P,1,1975,2,71.171.84.56
R_2QmtTdrFSjeb4fU,0,1972,3,96.28.19.26
R_2QmtTdrFSjeb4fU,0,1972,3,96.28.19.26
R_Ui34IKGZqfki7a9,0,1969,2,74.101.106.108
R_Ui34IKGZqfki7a9,0,1969,2,74.101.106.108
R_2EE2B9zaRUEDhG1,0,1980,2,71.67.137.98
R_2EE2B9zaRUEDhG1,0,1980,2,71.67.137.98
R_3NNU90ZFHdcuJ3H,0,1984,3,24.159.98.19
R_3NNU90ZFHdcuJ3H,0,1984,3,24.159.98.19
R_3EGQIOElnrz4q2t,0,1978,3,108.81.67.197
R_3EGQIOElnrz4q2t,0,1978,3,108.81.67.197
R_Uyzww057EO26Czv,0,1992,3,190.124.31.23
R_Uyzww057EO26Czv,0,1992,3,190.124.31.23
R_1oA7Rmx3ktcjVEH,0,1976,2,74.214.35.215
R_1oA7Rmx3ktcjVEH,0,1976,2,74.214.35.215
R_3KAtygaSerIxMUj,0,1994,2,108.245.152.51
R_3KAtygaSerIxMUj,0,1994,2,108.245.152.51
R_5AucBudiYkO5OBH,1,1988,2,107.141.7.113
R_5AucBudiYkO5OBH,1,1988,2,107.141.7.113
R_3dDFyqYB8iFyGpw,1,1987,3,104.176.6.160
R_3dDFyqYB8iFyGpw,1,1987,3,104.176.6.160
R_Xq5g3wbvoSCSEyl,1,1987,5,67.241.46.125
R_Xq5g3wbvoSCSEyl,1,1987,5,67.241.46.125
R_1kF7tnhNtdi2wFW,1,1990,2,167.160.123.19
R_1kF7tnhNtdi2wFW,1,1990,2,167.160.123.19
R_ulSHCXeLuNkWAal,1,1988,2,67.165.90.21
R_ulSHCXeLuNkWAal,1,1988,2,67.165.90.21
R_1kNcqc075E8xdDH,0,1973,2,67.54.129.249
R_1kNcqc075E8xdDH,0,1973,2,67.54.129.249
R_sLu5mllvXbrmYU1,0,1991,2,157.182.121.252
R_sLu5mllvXbrmYU1,0,1991,2,157.182.121.252
R_3Hi5gKNPjgqADDH,1,1991,2,49.230.17.196
R_3Hi5gKNPjgqADDH,1,1991,2,49.230.17.196
R_1rHPw3oRqRp3lsl,0,1995,2,72.201.98.101
R_1rHPw3oRqRp3lsl,0,1995,2,72.201.98.101
R_1P1Qfz7PudkCxYX,1,1987,2,209.156.113.194
R_1P1Qfz7PudkCxYX,1,1987,2,209.156.113.194
R_YbooIcF26B1M2Rj,1,1992,2,104.3.176.117
R_YbooIcF26B1M2Rj,1,1992,2,104.3.176.117
R_3NLnaSIrbLIcuk2,0,1988,2,76.111.151.115
R_3NLnaSIrbLIcuk2,0,1988,2,76.111.151.115
R_2EbprvFcw2ydB4T,0,1990,2,45.116.232.2
R_2EbprvFcw2ydB4T,0,1990,2,45.116.232.2
R_30hOsB1hO9dDBXm,1,1990,1,75.80.18.166
R_30hOsB1hO9dDBXm,1,1990,1,75.80.18.166
R_1FJ1BEjdHcBSh2a,0,1969,3,24.158.165.151
R_1FJ1BEjdHcBSh2a,0,1969,3,24.158.165.151
R_2XhftvQmvs15Oa8,1,1979,2,12.204.222.254
R_2XhftvQmvs15Oa8,1,1979,2,12.204.222.254
R_2sZmOLzxyslMWLc,0,1971,2,108.215.122.164
R_2sZmOLzxyslMWLc,0,1971,2,108.215.122.164
R_3FOhO90ALQaDbv6,1,1988,3,98.213.21.48
R_3FOhO90ALQaDbv6,1,1988,3,98.213.21.48
R_3Gv056KJ4nepwO0,1,1967,2,71.229.155.164
R_3Gv056KJ4nepwO0,1,1967,2,71.229.155.164
R_3DuXFS8HMITWlHv,1,1976,5,107.219.126.149
R_3DuXFS8HMITWlHv,1,1976,5,107.219.126.149
R_3MyruPbmovhwe8k,1,1993,2,96.250.62.179
R_3MyruPbmovhwe8k,1,1993,2,96.250.62.179
R_vJEnbhD4Q7Kz2H7,0,1980,2,24.242.197.66
R_vJEnbhD4Q7Kz2H7,0,1980,2,24.242.197.66
R_1DqF9yh7hWcaQbz,0,1977,2,73.184.225.156
R_1DqF9yh7hWcaQbz,0,1977,2,73.184.225.156
R_2t5A0jrUXiG0vbC,0,1982,2,184.57.243.132
R_2t5A0jrUXiG0vbC,0,1982,2,184.57.243.132
R_Cm2CP0MJyU6PnGh,1,1993,2,70.171.9.199
R_Cm2CP0MJyU6PnGh,1,1993,2,70.171.9.199
R_vdaIASRMxCPq9qh,0,1987,2,70.171.84.177
R_vdaIASRMxCPq9qh,0,1987,2,70.171.84.177
R_2wEvJXfzklLmfo7,0,1993,2,73.214.69.143
R_2wEvJXfzklLmfo7,0,1993,2,73.214.69.143
R_3ilNew4FLvXY5tq,0,1988,3,173.239.215.28
R_3ilNew4FLvXY5tq,0,1988,3,173.239.215.28
R_1QN2dRyTGZ9gRcf,0,1972,2,150.231.246.1
R_1QN2dRyTGZ9gRcf,0,1972,2,150.231.246.1
R_qEOcdU7mPy9iGSB,1,1989,2,108.198.89.164
R_qEOcdU7mPy9iGSB,1,1989,2,108.198.89.164
R_08Q0JloACQNLCWB,0,1988,2,66.147.105.33
R_08Q0JloACQNLCWB,0,1988,2,66.147.105.33
R_2wACZcKg7jm1daJ,0,1991,3,173.218.64.86
R_2wACZcKg7jm1daJ,0,1991,3,173.218.64.86
R_3Hn3xgaaC30XVcT,0,1993,3,98.116.87.67
R_3Hn3xgaaC30XVcT,0,1993,3,98.116.87.67
R_2bZQeJiieKk213W,1,1985,2,68.63.164.6
R_2bZQeJiieKk213W,1,1985,2,68.63.164.6
R_122SreHvAAY19zD,0,1990,2,69.85.215.113
R_122SreHvAAY19zD,0,1990,2,69.85.215.113
R_12EfnFUu3nosbEN,0,1987,5,173.19.196.229
R_12EfnFUu3nosbEN,0,1987,5,173.19.196.229
R_2EjdL2FsFOkUjG1,1,1978,3,173.17.220.94
R_2EjdL2FsFOkUjG1,1,1978,3,173.17.220.94
R_2E0ItLwv1x5eF2M,1,1979,2,4.15.235.26
R_2E0ItLwv1x5eF2M,1,1979,2,4.15.235.26
R_2QnZljuNdg70lUD,1,1987,2,107.9.150.178
R_2QnZljuNdg70lUD,1,1987,2,107.9.150.178
R_r3CFS8J5ehHHQKR,0,1994,3,99.191.155.14
R_r3CFS8J5ehHHQKR,0,1994,3,99.191.155.14
R_1Eh5RU2bEcjzS15,1,1987,2,108.209.122.112
R_1Eh5RU2bEcjzS15,1,1987,2,108.209.122.112
R_3RvDoCIWrYunmSR,0,1987,2,99.89.114.48
R_3RvDoCIWrYunmSR,0,1987,2,99.89.114.48
R_1GEovFY9j5BWBTc,0,1988,2,72.209.183.218
R_1GEovFY9j5BWBTc,0,1988,2,72.209.183.218
R_1gUv5wH4rTeRBKF,0,1991,2,104.240.237.41
R_1gUv5wH4rTeRBKF,0,1991,2,104.240.237.41
R_27wFEqSrGEXDjXB,0,1987,2,65.216.122.125
R_27wFEqSrGEXDjXB,0,1987,2,65.216.122.125
R_3iU33ezQYYE8ypL,0,1970,2,216.66.74.22
R_3iU33ezQYYE8ypL,0,1970,2,216.66.74.22
R_2VaSSOzmihJzUbK,0,1972,2,72.66.29.145
R_2VaSSOzmihJzUbK,0,1972,2,72.66.29.145
R_2S6lMjPA3pcV4cD,0,1987,2,208.84.184.239
R_2S6lMjPA3pcV4cD,0,1987,2,208.84.184.239
R_1FKAlN1Fq6Rqu9M,0,1987,5,70.179.30.252
R_1FKAlN1Fq6Rqu9M,0,1987,5,70.179.30.252
R_XBvGMbdmuExmANj,0,1971,2,24.59.80.184
R_XBvGMbdmuExmANj,0,1971,2,24.59.80.184
R_vwYqYEMXDSiK1Oh,1,1985,3,204.89.32.4
R_vwYqYEMXDSiK1Oh,1,1985,3,204.89.32.4
R_1IGVwQPnmlUongx,1,1981,2,172.11.220.144
R_1IGVwQPnmlUongx,1,1981,2,172.11.220.144
R_1Fm56deRy2gqeTb,1,1993,2,56.0.163.16
R_1Fm56deRy2gqeTb,1,1993,2,56.0.163.16
R_3lM1TfmPiEhwiNS,0,1962,4,72.219.241.46
R_3lM1TfmPiEhwiNS,0,1962,4,72.219.241.46
R_25zSmowqeMAtPAF,1,1992,2,78.130.17.50
R_25zSmowqeMAtPAF,1,1992,2,78.130.17.50
R_Q5NYNEmP1IUCgaB,1,1987,2,73.37.86.81
R_Q5NYNEmP1IUCgaB,1,1987,2,73.37.86.81
R_1irZTkNw2XbqWiw,0,1983,3,45.21.138.60
R_1irZTkNw2XbqWiw,0,1983,3,45.21.138.60
R_2CTzl28MISwPbAq,1,1982,2,71.182.138.68
R_2CTzl28MISwPbAq,1,1982,2,71.182.138.68
R_3Jq3yHDXEwrbdgS,0,1988,2,199.255.244.65
R_3Jq3yHDXEwrbdgS,0,1988,2,199.255.244.65
R_28U3a46RWlClNyi,1,1959,5,173.14.173.226
R_28U3a46RWlClNyi,1,1959,5,173.14.173.226
R_2cBZyG2YLDHBps2,0,1987,2,70.185.239.116
R_2cBZyG2YLDHBps2,0,1987,2,70.185.239.116
R_SNbNfDY6I1CACQh,1,1975,2,192.127.94.7
R_SNbNfDY6I1CACQh,1,1975,2,192.127.94.7
R_3e7YCg0w6nUkRiE,1,1966,3,66.171.38.84
R_3e7YCg0w6nUkRiE,1,1966,3,66.171.38.84
R_2R1E9DM4nZs8R0O,0,1997,2,71.84.200.100
R_2R1E9DM4nZs8R0O,0,1997,2,71.84.200.100
R_2E3Hcn9Pd0PKgfa,0,1983,2,67.5.221.160
R_2E3Hcn9Pd0PKgfa,0,1983,2,67.5.221.160
R_DvE1hZcKOWoHJCh,0,1981,2,66.56.16.219
R_DvE1hZcKOWoHJCh,0,1981,2,66.56.16.219
R_2TMqJlmvPcqokST,1,1966,2,71.231.60.97
R_2TMqJlmvPcqokST,1,1966,2,71.231.60.97
R_2cc4c6kz6DICqEo,0,1981,2,196.52.39.10
R_2cc4c6kz6DICqEo,0,1981,2,196.52.39.10
R_2XplI0zoVWfA0L1,0,1981,3,74.136.136.18
R_2XplI0zoVWfA0L1,0,1981,3,74.136.136.18
R_eQkucrsLqZmBHO1,1,1972,2,73.194.199.39
R_eQkucrsLqZmBHO1,1,1972,2,73.194.199.39
R_3L6cNf7PgiVxi2a,1,1990,2,27.34.104.204
R_3L6cNf7PgiVxi2a,1,1990,2,27.34.104.204
R_3ND6ScaUfBYwJZz,0,1982,2,23.120.189.94
R_3ND6ScaUfBYwJZz,0,1982,2,23.120.189.94
R_2V1KCSPllmn8gzE,0,1953,4,72.184.230.127
R_2V1KCSPllmn8gzE,0,1953,4,72.184.230.127
R_2Uit5Y8fD7HZJmI,1,1993,1,70.121.172.21
R_2Uit5Y8fD7HZJmI,1,1993,1,70.121.172.21
R_1lcaqGfa5jwQXGt,0,1985,2,108.22.206.196
R_1lcaqGfa5jwQXGt,0,1985,2,108.22.206.196
R_Dqs0hasV5OEeFOh,0,1977,3,74.90.25.149
R_Dqs0hasV5OEeFOh,0,1977,3,74.90.25.149
R_Od2NMma7DSCpbcR,0,1987,3,174.24.3.174
R_Od2NMma7DSCpbcR,0,1987,3,174.24.3.174
R_uyz80jk6GHit105,0,1988,2,174.110.16.121
R_uyz80jk6GHit105,0,1988,2,174.110.16.121
R_2V8860GKoJTyMSz,1,1974,5,198.140.240.10
R_2V8860GKoJTyMSz,1,1974,5,198.140.240.10
R_3O2MwAW1z5joJwi,1,1991,2,12.189.87.250
R_3O2MwAW1z5joJwi,1,1991,2,12.189.87.250
R_2B9ylJ8LN7qXKpU,0,1958,2,97.81.144.248
R_2B9ylJ8LN7qXKpU,0,1958,2,97.81.144.248
R_2uEsutYMCFTU8wW,1,1976,2,216.195.101.20
R_2uEsutYMCFTU8wW,1,1976,2,216.195.101.20
R_6QEGXht8beGccNj,1,1996,2,197.251.240.252
R_6QEGXht8beGccNj,1,1996,2,197.251.240.252
R_pRF4oyeqIQedkS5,1,1957,2,141.254.80.15
R_pRF4oyeqIQedkS5,1,1957,2,141.254.80.15
R_3Jlzhj285HceWug,1,1988,2,69.243.81.82
R_3Jlzhj285HceWug,1,1988,2,69.243.81.82
R_2UWtfTy4ajmVj6K,1,1985,2,66.41.206.111
R_2UWtfTy4ajmVj6K,1,1985,2,66.41.206.111
R_3PdjNiXYiZHSr9j,1,1981,2,65.60.89.50
R_3PdjNiXYiZHSr9j,1,1981,2,65.60.89.50
R_1mVGbQu3NZn9Dwr,0,1987,2,190.124.31.72
R_1mVGbQu3NZn9Dwr,0,1987,2,190.124.31.72
R_3nUwSpDK0ZAlslM,1,1984,2,85.97.186.121
R_3nUwSpDK0ZAlslM,1,1984,2,85.97.186.121
R_2xOTsdutjlIjX9v,0,1987,2,198.1.29.5
R_2xOTsdutjlIjX9v,0,1987,2,198.1.29.5
R_2cjT86vDH7hkW5I,0,1998,2,112.204.47.88
R_2cjT86vDH7hkW5I,0,1998,2,112.204.47.88
R_2bWqhIWA7HvADUN,1,1978,2,97.85.222.55
R_2bWqhIWA7HvADUN,1,1978,2,97.85.222.55
R_1jeJtaPcxvbSsEK,0,1950,2,24.17.252.46
R_1jeJtaPcxvbSsEK,0,1950,2,24.17.252.46
R_XOn2UF8Pi99FVhT,0,1948,2,184.101.116.89
R_XOn2UF8Pi99FVhT,0,1948,2,184.101.116.89
R_3GdhQEX2U2KZ4X8,1,1979,2,47.40.2.85
R_3GdhQEX2U2KZ4X8,1,1979,2,47.40.2.85
R_1jHslyfBaCtTCRX,0,1985,6,173.218.100.197
R_1jHslyfBaCtTCRX,0,1985,6,173.218.100.197
R_3CTzjHVs3xSWPIQ,1,1958,3,67.11.111.69
R_3CTzjHVs3xSWPIQ,1,1958,3,67.11.111.69
R_Dvr7SbB567vnAXL,0,1978,3,108.26.113.185
R_Dvr7SbB567vnAXL,0,1978,3,108.26.113.185
R_2zMC0qyJMqtDFmg,1,1961,2,40.133.44.242
R_2zMC0qyJMqtDFmg,1,1961,2,40.133.44.242
R_1FyRW5AAYwAlavi,0,1980,2,71.207.132.238
R_1FyRW5AAYwAlavi,0,1980,2,71.207.132.238
R_3g1s40QXYPmxv9W,1,1967,3,24.127.167.119
R_3g1s40QXYPmxv9W,1,1967,3,24.127.167.119
R_2s54g5x73gVgOaX,0,1975,2,73.144.247.47
R_2s54g5x73gVgOaX,0,1975,2,73.144.247.47
R_24px2UsXRxLPBRr,0,1991,2,142.197.88.222
R_24px2UsXRxLPBRr,0,1991,2,142.197.88.222
R_21BulP2lNnyAit5,1,1996,3,71.10.39.26
R_21BulP2lNnyAit5,1,1996,3,71.10.39.26
R_1kZmgC4tCdVIYjp,0,1980,3,73.56.129.227
R_1kZmgC4tCdVIYjp,0,1980,3,73.56.129.227
R_UcjiROg05X8N3TH,1,1990,2,67.60.190.117
R_UcjiROg05X8N3TH,1,1990,2,67.60.190.117
R_4YgkwCh2TPi4dp3,0,1951,2,74.103.175.21
R_4YgkwCh2TPi4dp3,0,1951,2,74.103.175.21
R_3NwVGtOHMei0oCh,0,1962,3,76.24.109.168
R_3NwVGtOHMei0oCh,0,1962,3,76.24.109.168
R_125Cc1QeztXn8Ix,1,1991,2,167.160.113.50
R_125Cc1QeztXn8Ix,1,1991,2,167.160.113.50
R_29alPQLjkFzqxOJ,1,1958,5,24.90.165.185
R_29alPQLjkFzqxOJ,1,1958,5,24.90.165.185
R_3Ple4gQGqiqAZrz,1,1990,3,73.221.14.154
R_3Ple4gQGqiqAZrz,1,1990,3,73.221.14.154
R_1o7nRtSDhRU2ta5,1,1988,3,73.163.23.14
R_1o7nRtSDhRU2ta5,1,1988,3,73.163.23.14
R_Bun6VxcCC3zvof7,1,1983,2,174.64.169.250
R_Bun6VxcCC3zvof7,1,1983,2,174.64.169.250
R_2TmXZz0Qk5RKB6J,0,1991,2,162.198.44.182
R_2TmXZz0Qk5RKB6J,0,1991,2,162.198.44.182
R_1IadrV060FEcyit,1,1968,2,71.8.86.183
R_1IadrV060FEcyit,1,1968,2,71.8.86.183
R_2R7GWFb2JqHno4Z,0,1989,2,71.63.144.86
R_2R7GWFb2JqHno4Z,0,1989,2,71.63.144.86
R_2y18utsGQ1GqPkV,0,1981,2,205.215.216.15
R_2y18utsGQ1GqPkV,0,1981,2,205.215.216.15
R_24FU1tugXFKepcg,0,1984,5,96.244.43.109
R_24FU1tugXFKepcg,0,1984,5,96.244.43.109
R_3KNJqX2BUv27tyj,0,1988,2,24.158.1.174
R_3KNJqX2BUv27tyj,0,1988,2,24.158.1.174
R_33shMmvTa12GEir,1,1987,2,32.208.134.41
R_33shMmvTa12GEir,1,1987,2,32.208.134.41
R_322wjzFk32D58vj,1,1961,4,71.237.58.162
R_322wjzFk32D58vj,1,1961,4,71.237.58.162
R_3EG4Dn7YH5VZvdQ,1,1987,2,192.3.1.107
R_3EG4Dn7YH5VZvdQ,1,1987,2,192.3.1.107
R_Dwtmz8VKSA3itGx,1,1987,2,68.96.169.162
R_Dwtmz8VKSA3itGx,1,1987,2,68.96.169.162
R_2QtjUsWegVZZWxW,0,1959,2,96.224.230.22
R_2QtjUsWegVZZWxW,0,1959,2,96.224.230.22
R_29sQ7TfaaXSkKol,1,1990,2,39.50.192.3
R_29sQ7TfaaXSkKol,1,1990,2,39.50.192.3
R_BL2Na3xQvh8LiTv,1,1985,3,68.54.140.19
R_BL2Na3xQvh8LiTv,1,1985,3,68.54.140.19
R_1rjG2JpQE7ZV8eQ,0,1988,2,104.162.71.49
R_1rjG2JpQE7ZV8eQ,0,1988,2,104.162.71.49
R_vkMRZzn06meiSTD,1,1991,3,108.234.88.37
R_vkMRZzn06meiSTD,1,1991,3,108.234.88.37
R_2qpxc6bQq7Bi3sE,0,1984,2,173.244.44.57
R_2qpxc6bQq7Bi3sE,0,1984,2,173.244.44.57
R_2WUXPWjtG1yzebe,1,1991,2,71.173.193.120
R_2WUXPWjtG1yzebe,1,1991,2,71.173.193.120
R_zZIpw1UU7Krzm1P,0,1994,2,174.221.130.153
R_zZIpw1UU7Krzm1P,0,1994,2,174.221.130.153
R_3QQXMdUS0XcMuCi,0,1968,3,66.191.21.59
R_3QQXMdUS0XcMuCi,0,1968,3,66.191.21.59
R_2tat7yAywJgmOPL,1,1984,2,24.126.128.242
R_2tat7yAywJgmOPL,1,1984,2,24.126.128.242
R_2AXUwW5QCYxdY4T,0,1965,3,47.150.183.33
R_2AXUwW5QCYxdY4T,0,1965,3,47.150.183.33
R_3VOmsmT7RLyhmzn,0,1995,1,104.1.157.63
R_3VOmsmT7RLyhmzn,0,1995,1,104.1.157.63
R_Cf97bB7c6ssnu3D,1,1996,1,162.17.213.102
