StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Human1a,Human1b,Human2a,Human2b,Human3a,Human3b,Human4a,Human4b,Human5a,Human5b,Human6a,Human6b,Human7a,Human7b,Human8a,Human8b,Human9a,Human9b,Robot1a,Robot1b,Robot2a,Robot2b,Robot3a,Robot3b,Robot4a,Robot4b,Robot5a,Robot5b,Robot6a,Robot6b,Robot7a,Robot7b,Robot8a,Robot8b,Robot9a,Robot9b,Gender,Gender_DO,BirthYear,Country,WorkInHealtCare,WorkingWithRobots,Occupation,Occupation_6_TEXT,Comments,MTurkCode,Q58 - Topics,FL_26_DO,FL_30_DO,FL_31_DO,Human1_DO,Human2_DO,Human3_DO,Human4_DO,Human5_DO,Human6_DO,Human7_DO,Human8_DO,Human9_DO,Robot1_DO,Robot2_DO,Robot3_DO,Robot4_DO,Robot5_DO,Robot6_DO,Robot7_DO,Robot8_DO,Robot9_DO
2016-06-16 01:28:32,2016-06-16 01:37:52,IP Address,186.80.8.230,100,559,True,2016-06-16 01:37:52,R_1IA9n3GU5UZjf26,,,,,4.6492004394531,-74.062797546387,anonymous,EN,,,,,,,,,,,,,,,,,,,I strongly disagree,,,I strongly disagree,I strongly agree,,I strongly agree,,,I strongly disagree,I strongly agree,,,I strongly agree,,I strongly agree,I strongly disagree,,Male,Male|Female,1978,"Colombia ",No,No,Unemployed,,,,,IntroRobot,,Robot6|Robot9|Robot3|Robot1|Robot5|Robot7|Robot4|Robot2|Robot8,,,,,,,,,,Robot1a,Robot2b,Robot3a,Robot4a,Robot5b,Robot6a,Robot7b,Robot8b,Robot9a
2016-06-16 01:30:28,2016-06-16 01:41:09,IP Address,186.88.246.13,100,641,True,2016-06-16 01:41:10,R_2fkbjs92yHXPO4d,,,,,10.24690246582,-67.595802307129,anonymous,EN,,I agree,I somewhat agree,,,I disagree,I agree,,,I somewhat disagree,I somewhat agree,,I disagree,,I somewhat agree,,I somewhat agree,,,,,,,,,,,,,,,,,,,,Male,Female|Male,1956,"Colombia ",No,No,Employee,,I would suggest to include differences related to insurance policies.,,Unknown,Intro_Human,Human3|Human5|Human7|Human1|Human2|Human6|Human4|Human9|Human8,,Human1b,Human2a,Human3b,Human4a,Human5b,Human6a,Human7a,Human8a,Human9a,,,,,,,,,
2016-06-16 01:28:15,2016-06-16 01:47:27,IP Address,200.89.239.205,100,1151,True,2016-06-16 01:47:27,R_6QIU9HvfHUgUaYx,,,,,4.6492004394531,-74.062797546387,anonymous,EN,,,,,,,,,,,,,,,,,,,I disagree,,,I somewhat disagree,I somewhat agree,,,I somewhat disagree,,I agree,I somewhat agree,,,I disagree,I disagree,,I agree,,Female,Male|Female,1981,"Colombia ",No,No,Self-employed,,,,,IntroRobot,,Robot4|Robot8|Robot2|Robot1|Robot9|Robot6|Robot7|Robot5|Robot3,,,,,,,,,,Robot1a,Robot2b,Robot3a,Robot4b,Robot5b,Robot6a,Robot7b,Robot8a,Robot9a
2016-06-16 02:15:19,2016-06-16 02:25:19,IP Address,186.138.99.64,100,599,True,2016-06-16 02:25:20,R_1l5G3KkGPPtVGYa,,,,,-34.548706054688,-58.450401306152,anonymous,EN,,,,,,,,,,,,,,,,,,,I strongly disagree,,,I disagree,,I somewhat agree,,I agree,,I somewhat disagree,I strongly disagree,,I strongly disagree,,,I agree,,I strongly agree,Female,Female|Male,1981,"Argentina ",Yes,No,Employee,,,,,IntroRobot,,Robot6|Robot1|Robot8|Robot3|Robot7|Robot4|Robot5|Robot9|Robot2,,,,,,,,,,Robot1a,Robot2b,Robot3b,Robot4b,Robot5b,Robot6a,Robot7a,Robot8b,Robot9b
2016-06-16 02:29:39,2016-06-16 02:40:24,IP Address,181.129.84.15,100,644,True,2016-06-16 02:40:25,R_2pSIH3WHEElSe5J,,,,,4.6492004394531,-74.062797546387,anonymous,EN,,,,,,,,,,,,,,,,,,,I disagree,,I agree,,I disagree,,,I disagree,,I agree,,I agree,I disagree,,,I agree,,I disagree,Female,Female|Male,1981,"Colombia ",No,No,Employee,,,,,IntroRobot,,Robot1|Robot5|Robot8|Robot6|Robot2|Robot4|Robot7|Robot3|Robot9,,,,,,,,,,Robot1a,Robot2a,Robot3a,Robot4b,Robot5b,Robot6b,Robot7a,Robot8b,Robot9b
2016-06-16 02:32:15,2016-06-16 02:57:47,IP Address,201.184.34.220,100,1531,True,2016-06-16 02:57:48,R_2b2kuxkNaiRKmlN,,,,,4.6492004394531,-74.062797546387,anonymous,EN,,I strongly agree,I agree,,,I disagree,I strongly agree,,I strongly disagree,,I disagree,,,I strongly agree,I disagree,,I somewhat disagree,,,,,,,,,,,,,,,,,,,,Female,Female|Male,1963,"Colombia ",Yes,No,other,,It's very interesting that you worry about ethics in medicine.,,Unknown,Intro_Human,Human5|Human2|Human8|Human7|Human4|Human9|Human1|Human6|Human3,,Human1b,Human2a,Human3b,Human4a,Human5a,Human6a,Human7b,Human8a,Human9a,,,,,,,,,
2016-06-16 02:43:40,2016-06-16 02:58:02,IP Address,181.50.197.167,100,861,True,2016-06-16 02:58:02,R_1jJsN9DFC9gQ4bQ,,,,,4.6492004394531,-74.062797546387,anonymous,EN,,,,,,,,,,,,,,,,,,,,I agree,I strongly agree,,I somewhat agree,,,I somewhat disagree,I strongly agree,,,I somewhat disagree,,I somewhat agree,,I strongly disagree,,I disagree,Female,Female|Male,1979,"Colombia ",No,Yes,Employee,,,,,IntroRobot,,Robot1|Robot5|Robot6|Robot3|Robot8|Robot4|Robot9|Robot2|Robot7,,,,,,,,,,Robot1b,Robot2a,Robot3a,Robot4b,Robot5a,Robot6b,Robot7b,Robot8b,Robot9b
2016-06-16 03:20:51,2016-06-16 03:32:37,IP Address,201.216.29.234,100,705,True,2016-06-16 03:32:37,R_3spibPR0ex6HBFa,,,,,4.5980987548828,-74.075798034668,anonymous,EN,I disagree,,,I disagree,,I disagree,,I disagree,I disagree,,I disagree,,I disagree,,,I disagree,I disagree,,,,,,,,,,,,,,,,,,,,Male,Male|Female,1982,"Colombia ",No,Yes,Unemployed,,,,,Intro_Human,Human7|Human1|Human5|Human9|Human4|Human6|Human3|Human8|Human2,,Human1a,Human2b,Human3b,Human4b,Human5a,Human6a,Human7a,Human8b,Human9a,,,,,,,,,
2016-06-16 02:37:03,2016-06-16 03:47:52,IP Address,186.115.175.236,100,4248,True,2016-06-16 03:47:52,R_RIbKXWNlodA57hv,,,,,4.6492004394531,-74.062797546387,anonymous,EN,I strongly disagree,,I disagree,,,I neither agree nor disagree,,I strongly agree,I disagree,,I strongly disagree,,I strongly disagree,,I strongly disagree,,I disagree,,,,,,,,,,,,,,,,,,,,Male,Male|Female,1981,"Colombia ",No,No,Self-employed,,,,,Intro_Human,Human4|Human2|Human8|Human5|Human3|Human1|Human9|Human7|Human6,,Human1a,Human2a,Human3b,Human4b,Human5a,Human6a,Human7a,Human8a,Human9a,,,,,,,,,
2016-06-16 03:50:04,2016-06-16 03:56:52,IP Address,189.202.38.109,100,407,True,2016-06-16 03:56:53,R_3is5W5UncmipWFv,,,,,28.63330078125,-106.08329772949,anonymous,EN,,,,,,,,,,,,,,,,,,,,I disagree,,I strongly agree,I neither agree nor disagree,,,I agree,I agree,,,I strongly disagree,I neither agree nor disagree,,I neither agree nor disagree,,I strongly disagree,,Male,Female|Male,1980,"Mexico ",No,No,Employee,,,,,IntroRobot,,Robot5|Robot1|Robot4|Robot6|Robot8|Robot7|Robot2|Robot3|Robot9,,,,,,,,,,Robot1b,Robot2b,Robot3a,Robot4b,Robot5a,Robot6b,Robot7a,Robot8a,Robot9a
2016-06-16 03:37:29,2016-06-16 03:58:26,IP Address,191.151.40.76,100,1256,True,2016-06-16 03:58:26,R_wY386nKIRM7rqRX,,,,,4.5980987548828,-74.075798034668,anonymous,EN,I strongly disagree,,,I somewhat agree,I strongly disagree,,,I strongly agree,I strongly disagree,,,I disagree,I somewhat disagree,,,I somewhat disagree,,I strongly disagree,,,,,,,,,,,,,,,,,,,Male,Female|Male,1976,"Colombia ",No,No,Employee,,,,,Intro_Human,Human6|Human5|Human1|Human8|Human3|Human2|Human7|Human9|Human4,,Human1a,Human2b,Human3a,Human4b,Human5a,Human6b,Human7a,Human8b,Human9b,,,,,,,,,
2016-06-16 03:56:14,2016-06-16 04:04:52,IP Address,181.61.198.55,100,518,True,2016-06-16 04:04:53,R_1mwTSkiFZesfkey,,,,,4.6492004394531,-74.062797546387,anonymous,EN,,,,,,,,,,,,,,,,,,,I disagree,,,I agree,I disagree,,I agree,,,I agree,,I agree,I disagree,,,I agree,,I disagree,Female,Female|Male,1981,"Colombia ",No,No,Employee,,,,,IntroRobot,,Robot4|Robot8|Robot6|Robot3|Robot2|Robot5|Robot9|Robot7|Robot1,,,,,,,,,,Robot1a,Robot2b,Robot3a,Robot4a,Robot5b,Robot6b,Robot7a,Robot8b,Robot9b
2016-06-16 03:59:59,2016-06-16 04:09:16,IP Address,181.137.108.74,100,557,True,2016-06-16 04:09:17,R_3jezvCod5jP0NEq,,,,,6.2518005371094,-75.563598632812,anonymous,EN,,I somewhat disagree,I strongly agree,,,I somewhat agree,,I strongly disagree,I agree,,I somewhat agree,,I somewhat disagree,,,I disagree,I agree,,,,,,,,,,,,,,,,,,,,Male,Female|Male,1980,"Colombia ",No,Yes,Employee,,,,,Intro_Human,Human3|Human8|Human5|Human9|Human2|Human4|Human7|Human1|Human6,,Human1b,Human2a,Human3b,Human4b,Human5a,Human6a,Human7a,Human8b,Human9a,,,,,,,,,
2016-06-16 04:01:02,2016-06-16 04:10:09,IP Address,190.9.203.212,100,547,True,2016-06-16 04:10:10,R_SDa0RVA6UpWDjYR,,,,,6.2518005371094,-75.563598632812,anonymous,EN,,,,,,,,,,,,,,,,,,,I disagree,,I somewhat disagree,,,I agree,I somewhat agree,,I somewhat disagree,,I strongly disagree,,I disagree,,,I agree,I disagree,,Male,Male|Female,1980,"Colombia ",No,No,Employee,,,,,IntroRobot,,Robot9|Robot1|Robot2|Robot8|Robot4|Robot5|Robot6|Robot7|Robot3,,,,,,,,,,Robot1a,Robot2a,Robot3b,Robot4a,Robot5a,Robot6a,Robot7a,Robot8b,Robot9a
2016-06-16 03:56:32,2016-06-16 04:12:26,IP Address,191.95.242.176,100,954,True,2016-06-16 04:12:27,R_AtdEU8ZOwLLO0fL,,,,,4.5980987548828,-74.075798034668,anonymous,EN,,,,,,,,,,,,,,,,,,,,I agree,I disagree,,,I agree,,I disagree,,I agree,,I strongly disagree,I disagree,,,I agree,,I somewhat disagree,Female,Female|Male,1981,"Colombia ",No,No,Employee,,,,,IntroRobot,,Robot9|Robot7|Robot4|Robot8|Robot3|Robot5|Robot6|Robot2|Robot1,,,,,,,,,,Robot1b,Robot2a,Robot3b,Robot4b,Robot5b,Robot6b,Robot7a,Robot8b,Robot9b
2016-06-16 06:31:57,2016-06-16 07:12:03,IP Address,190.252.60.2,100,2406,True,2016-06-16 07:12:04,R_D0sIz5S1KfFMorT,,,,,4.6492004394531,-74.062797546387,anonymous,EN,I disagree,,I somewhat disagree,,,I strongly agree,I somewhat agree,,I disagree,,I neither agree nor disagree,,,I somewhat disagree,I agree,,I agree,,,,,,,,,,,,,,,,,,,,Male,Male|Female,1980,"Colombia ",No,Yes,Employee,,,,,Intro_Human,Human2|Human7|Human8|Human9|Human5|Human6|Human3|Human1|Human4,,Human1a,Human2a,Human3b,Human4a,Human5a,Human6a,Human7b,Human8a,Human9a,,,,,,,,,
2016-06-16 08:13:33,2016-06-16 08:26:51,IP Address,37.135.199.182,100,798,True,2016-06-16 08:26:52,R_2rYNPkc28opgwqF,,,,,41.398406982422,2.1741027832031,anonymous,EN,,I agree,,I somewhat agree,I disagree,,,I strongly disagree,I agree,,,I somewhat agree,I neither agree nor disagree,,I strongly disagree,,,I disagree,,,,,,,,,,,,,,,,,,,Male,Female|Male,1981,"Colombia ",No,No,Employee,,"Some of the questions involved a doctor, or a situation in which the nurse shouldn't be evaluated (storage of medicines). in such case the level of responsibility of the nurse is limited.",,Unknown,Intro_Human,Human4|Human7|Human1|Human5|Human2|Human6|Human9|Human8|Human3,,Human1b,Human2b,Human3a,Human4b,Human5a,Human6b,Human7a,Human8a,Human9b,,,,,,,,,
2016-06-16 09:32:30,2016-06-16 09:43:47,IP Address,188.29.164.201,100,677,True,2016-06-16 09:43:48,R_1QFNkj638374BeF,,,,,51.514205932617,-0.093093872070312,anonymous,EN,I disagree,,,I strongly agree,I somewhat agree,,I strongly agree,,,I strongly agree,,I disagree,,I strongly disagree,,I somewhat agree,,I disagree,,,,,,,,,,,,,,,,,,,Female,Male|Female,1981,"United Kingdom ",No,No,Employee,,,,,Intro_Human,Human1|Human2|Human8|Human4|Human3|Human6|Human5|Human9|Human7,,Human1a,Human2b,Human3a,Human4a,Human5b,Human6b,Human7b,Human8b,Human9b,,,,,,,,,
2016-06-15 22:30:26,2016-06-16 10:08:44,IP Address,89.219.45.45,100,41897,True,2016-06-16 10:08:45,R_C2iMcX13dRWk0Ol,,,,,40.395294189453,49.882202148438,anonymous,EN,,,,,,,,,,,,,,,,,,,I somewhat agree,,I disagree,,,I agree,I disagree,,I agree,,,I strongly agree,I strongly disagree,,I disagree,,,I agree,Female,Male|Female,1982,"Colombia ",No,No,Self-employed,,"Since this questions are based on ethical matters i dont
Think
They sholud have so many options to answer",,Unknown,IntroRobot,,Robot8|Robot2|Robot7|Robot5|Robot3|Robot4|Robot1|Robot6|Robot9,,,,,,,,,,Robot1a,Robot2a,Robot3b,Robot4a,Robot5a,Robot6b,Robot7a,Robot8a,Robot9b
2016-06-16 11:23:47,2016-06-16 11:32:12,IP Address,93.206.71.5,100,504,True,2016-06-16 11:32:12,R_yQKuBjsfrVYEI01,,,,,53.550003051758,10,anonymous,EN,I disagree,,,I neither agree nor disagree,,I somewhat disagree,I somewhat agree,,I somewhat agree,,I disagree,,I strongly disagree,,,I strongly agree,I somewhat disagree,,,,,,,,,,,,,,,,,,,,Female,Male|Female,1980,"Germany ",No,No,Employee,,,,,Intro_Human,Human1|Human7|Human4|Human9|Human2|Human6|Human5|Human3|Human8,,Human1a,Human2b,Human3b,Human4a,Human5a,Human6a,Human7a,Human8b,Human9a,,,,,,,,,
2016-06-16 11:37:43,2016-06-16 11:44:00,IP Address,136.172.132.37,100,376,True,2016-06-16 11:44:00,R_UoJlYI3Jfpelwit,,,,,53.550003051758,10,anonymous,EN,,,,,,,,,,,,,,,,,,,,I somewhat disagree,I somewhat agree,,I somewhat agree,,,I somewhat agree,,I disagree,,I somewhat agree,I disagree,,,I agree,,I somewhat agree,Female,Female|Male,1991,"Germany ",No,No,Employee,,,,,IntroRobot,,Robot6|Robot8|Robot3|Robot7|Robot1|Robot5|Robot4|Robot2|Robot9,,,,,,,,,,Robot1b,Robot2a,Robot3a,Robot4b,Robot5b,Robot6b,Robot7a,Robot8b,Robot9b
2016-06-16 11:40:44,2016-06-16 11:48:27,IP Address,136.172.133.40,100,463,True,2016-06-16 11:48:27,R_9zgMtcAINT5u9aB,,,,,53.550003051758,10,anonymous,,I strongly agree,,,I strongly disagree,I somewhat agree,,,I agree,,I agree,,I somewhat disagree,,I somewhat disagree,,I agree,I strongly disagree,,,,,,,,,,,,,,,,,,,,Female,Male|Female,1988,"Germany ",No,Yes,Student,,,,,Intro_Human,Human6|Human2|Human9|Human3|Human4|Human5|Human8|Human7|Human1,,Human1a,Human2b,Human3a,Human4b,Human5b,Human6b,Human7b,Human8b,Human9a,,,,,,,,,
2016-06-16 11:49:44,2016-06-16 11:56:56,IP Address,123.243.65.23,100,431,True,2016-06-16 11:56:57,R_2P6jLyHpi2aUjOC,,,,,-33.920196533203,151.22241210938,anonymous,EN,,I disagree,I somewhat disagree,,I somewhat agree,,I strongly agree,,I agree,,I disagree,,,I agree,I somewhat disagree,,,I disagree,,,,,,,,,,,,,,,,,,,Male,Male|Female,1981,"Australia ",No,No,Self-employed,,,,,Intro_Human,Human6|Human2|Human5|Human4|Human8|Human7|Human1|Human3|Human9,,Human1b,Human2a,Human3a,Human4a,Human5a,Human6a,Human7b,Human8a,Human9b,,,,,,,,,
2016-06-16 11:54:17,2016-06-16 12:03:51,IP Address,195.37.234.75,100,574,True,2016-06-16 12:03:52,R_3p4Kor42ZVpS4uR,,,,,51,9,anonymous,EN,,,,,,,,,,,,,,,,,,,,I strongly agree,,I neither agree nor disagree,I agree,,I strongly disagree,,I disagree,,,I somewhat agree,I neither agree nor disagree,,,I strongly agree,,I strongly disagree,Female,Male|Female,1986,"Germany ",No,No,Student,,"The reasons why people might agree or disagree with the proposed behaviors can vary greatly; although it is difficult to get people to take time to answer a questionnaire, once they are doing so it could be advisable to give them the chance to explain the reasoning behind their answers. That could ensure as well that the results can be analyzed not only in statistical terms, but a glimpse into the reasoning behind people's decisions can be given.",,Unknown,IntroRobot,,Robot3|Robot2|Robot1|Robot5|Robot9|Robot8|Robot7|Robot6|Robot4,,,,,,,,,,Robot1b,Robot2b,Robot3a,Robot4a,Robot5a,Robot6b,Robot7a,Robot8b,Robot9b
2016-06-16 12:31:06,2016-06-16 12:36:05,IP Address,24.114.86.22,100,298,True,2016-06-16 12:36:06,R_2ASiJb7RC51ZxgF,,,,,45.5,-73.583297729492,anonymous,EN,,,,,,,,,,,,,,,,,,,,I somewhat agree,,I somewhat disagree,I somewhat disagree,,I strongly agree,,,I disagree,I strongly disagree,,I strongly disagree,,,I strongly disagree,I somewhat disagree,,Female,Female|Male,1981,"Canada ",No,No,Employee,,,,,IntroRobot,,Robot5|Robot3|Robot8|Robot7|Robot2|Robot9|Robot1|Robot4|Robot6,,,,,,,,,,Robot1b,Robot2b,Robot3a,Robot4a,Robot5b,Robot6a,Robot7a,Robot8b,Robot9a
2016-06-16 00:32:46,2016-06-16 12:44:05,IP Address,181.50.168.187,100,43878,True,2016-06-16 12:44:05,R_3O0LO0aMSI3ZitB,,,,,4.6492004394531,-74.062797546387,anonymous,EN,,,,,,,,,,,,,,,,,,,,I somewhat agree,,I somewhat disagree,,I agree,I agree,,I agree,,I strongly disagree,,,I strongly agree,I somewhat agree,,,I somewhat agree,Female,Male|Female,1981,"Colombia ",No,No,Employee,,,,,IntroRobot,,Robot9|Robot7|Robot3|Robot2|Robot1|Robot6|Robot5|Robot4|Robot8,,,,,,,,,,Robot1b,Robot2b,Robot3b,Robot4a,Robot5a,Robot6a,Robot7b,Robot8a,Robot9b
2016-06-16 12:38:07,2016-06-16 12:59:47,IP Address,136.172.124.20,100,1300,True,2016-06-16 12:59:48,R_2780xDlyy3UX2Ch,,,,,53.550003051758,10,anonymous,EN,I somewhat disagree,,I agree,,,I somewhat agree,I strongly disagree,,,I neither agree nor disagree,I neither agree nor disagree,,I strongly disagree,,,I strongly agree,,I somewhat agree,,,,,,,,,,,,,,,,,,,Female,Female|Male,1984,"Germany ",No,No,Student,,"This questionnaire was the hardest I ever had to answer. Information provided on the different cases is not sufficient to make general statements possible. There are multiple factors which - if provided - could lead to me rating some situations completely differently from the way I have done. As an example, I cite the case where the nurse takes away the patient's cigarettes: was the patient smoking in the hospital or in the presence of children or other patients? If so, the nurse was completely justified. On the other hand, if the patient was alone and outside, the nurse was wrong, because patients should be free to ignore their doctor's advice. The nurse could have informed the doctor, however.",,Unknown,Intro_Human,Human1|Human9|Human8|Human6|Human4|Human2|Human3|Human5|Human7,,Human1a,Human2a,Human3b,Human4a,Human5b,Human6a,Human7a,Human8b,Human9b,,,,,,,,,
2016-06-16 13:20:20,2016-06-16 13:26:59,IP Address,136.172.75.138,100,399,True,2016-06-16 13:27:00,R_2aF8Rd05MiYENKz,,,,,53.550003051758,10,anonymous,EN,I somewhat disagree,,I strongly agree,,I somewhat disagree,,,I strongly disagree,,I strongly disagree,,I strongly disagree,I somewhat agree,,,I agree,,I agree,,,,,,,,,,,,,,,,,,,Male,Male|Female,1989,"Germany ",No,No,Student,,,,,Intro_Human,Human5|Human4|Human3|Human1|Human2|Human9|Human8|Human6|Human7,,Human1a,Human2a,Human3a,Human4b,Human5b,Human6b,Human7a,Human8b,Human9b,,,,,,,,,
2016-06-16 14:48:19,2016-06-16 14:55:39,IP Address,136.172.131.1,100,439,True,2016-06-16 14:55:39,R_3g0BELGW5ZJP1Ly,,,,,53.550003051758,10,anonymous,EN,,I agree,,I somewhat disagree,I somewhat agree,,,I neither agree nor disagree,,I somewhat disagree,I neither agree nor disagree,,,I agree,,I neither agree nor disagree,,I neither agree nor disagree,,,,,,,,,,,,,,,,,,,Female,Male|Female,1988,"Germany ",No,No,Employee,,,,,Intro_Human,Human3|Human7|Human2|Human1|Human9|Human4|Human5|Human6|Human8,,Human1b,Human2b,Human3a,Human4b,Human5b,Human6a,Human7b,Human8b,Human9b,,,,,,,,,
2016-06-09 15:10:11,2016-06-09 15:10:11,IP Address,216.46.175.35,2,0,False,2016-06-16 15:10:14,R_00VuOw7fRwND7QF,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
2016-06-09 15:10:10,2016-06-09 15:10:11,IP Address,54.204.20.250,2,1,False,2016-06-16 15:10:14,R_0UFfVmc1gh53Sx7,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,,,,,,,,,,,,,,,,,,,
2016-06-09 15:10:10,2016-06-09 15:10:11,IP Address,144.76.43.85,2,1,False,2016-06-16 15:10:14,R_1LVEqmr7fmHgcHH,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,,,,,,,,,,,,,,,,,,,
2016-06-09 15:10:11,2016-06-09 15:10:12,IP Address,216.46.175.34,2,1,False,2016-06-16 15:10:14,R_3EHysLzoYg55BQx,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
2016-06-09 15:10:10,2016-06-09 15:10:10,IP Address,54.158.47.133,2,0,False,2016-06-16 15:10:14,R_8IGgnCPOXFyvYIl,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
2016-06-09 15:10:10,2016-06-09 15:10:10,IP Address,199.16.156.126,2,0,False,2016-06-16 15:10:14,R_eyyRxg9KbAlxdIh,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
2016-06-09 15:11:30,2016-06-09 15:11:30,IP Address,54.174.137.136,2,0,False,2016-06-16 15:11:34,R_3l0jemfWyesnJsN,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,,,,,,,,,,,,,,,,,,,
2016-06-09 15:12:17,2016-06-09 15:12:17,IP Address,195.154.233.224,2,0,False,2016-06-16 15:12:21,R_bdvND8e2W8mglIp,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,,,,,,,,,,,,,,,,,,,
2016-06-09 15:12:31,2016-06-09 15:12:31,IP Address,52.91.152.172,2,0,False,2016-06-16 15:12:32,R_3Ig1xEe9RUdHlop,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,,,,,,,,,,,,,,,,,,,
2016-06-09 15:12:55,2016-06-09 15:12:56,IP Address,37.187.162.193,2,1,False,2016-06-16 15:12:58,R_0AE0YHiNrFKDCJL,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
2016-06-09 15:14:00,2016-06-09 15:14:00,IP Address,148.251.81.40,2,0,False,2016-06-16 15:14:02,R_eeTN6dD3DGM0KvX,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
2016-06-09 15:14:35,2016-06-09 15:14:35,IP Address,74.6.254.100,2,0,False,2016-06-16 15:14:38,R_4Ib6T3MftI1w7kN,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
2016-06-09 15:22:20,2016-06-09 15:22:21,IP Address,52.23.216.3,2,1,False,2016-06-16 15:22:22,R_8D3S55xYJaVWnm5,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,,,,,,,,,,,,,,,,,,,
2016-06-09 15:39:16,2016-06-09 15:39:16,IP Address,31.13.113.71,2,0,False,2016-06-16 15:39:18,R_3OfGl4c6Lrc4h0N,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,,,,,,,,,,,,,,,,,,,
2016-06-09 15:39:24,2016-06-09 15:39:24,IP Address,173.252.75.113,2,0,False,2016-06-16 15:39:25,R_735TraffI0F3Ckd,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
2016-06-09 15:39:24,2016-06-09 15:39:24,IP Address,69.171.228.118,2,0,False,2016-06-16 15:39:25,R_e2uUP3M25ecjKS1,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,,,,,,,,,,,,,,,,,,,
2016-06-09 15:39:25,2016-06-09 15:39:25,IP Address,173.252.79.114,2,0,False,2016-06-16 15:39:28,R_3sg2Y2skmxn8M0B,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
2016-06-09 15:00:47,2016-06-09 15:41:23,IP Address,134.100.178.248,42,2436,False,2016-06-16 15:42:22,R_1pSX8iuA7lrhtWk,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,Robot7|Robot1|Robot2|Robot9|Robot3|Robot6|Robot8|Robot5|Robot4,,,,,,,,,,,,,,,,Robot7b,,
2016-06-09 16:18:14,2016-06-09 16:18:14,IP Address,136.243.154.100,2,0,False,2016-06-16 16:18:16,R_4IoZSobJ8ow44x7,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
2016-06-09 16:18:15,2016-06-09 16:18:15,Spam,136.243.154.100,2,0,False,2016-06-16 16:18:16,R_8dFzJHbcdgL8EVn,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,,,,,,,,,,,,,,,,,,,
2016-06-09 17:32:45,2016-06-09 17:32:45,IP Address,74.6.254.100,2,0,False,2016-06-16 17:32:46,R_2ohFGhhDbWdKs2F,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
