StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q20_First Click,Q20_Last Click,Q20_Page Submit,Q20_Click Count,Q3#1_1,Q3#1_2,Q3#1_3,Q3#1_4,Q3#1_5,Q3#1_6,Q3#2_1,Q3#2_2,Q3#2_3,Q3#2_4,Q3#2_5,Q3#2_6,Q16#1_1,Q16#1_2,Q16#1_3,Q16#1_4,Q16#1_5,Q16#1_6,Q16#2_1,Q16#2_2,Q16#2_3,Q16#2_4,Q16#2_5,Q16#2_6,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Q14#1_1,Q14#1_2,Q14#1_3,Q14#1_4,Q14#1_5,Q14#1_6,Q14#2_1,Q14#2_2,Q14#2_3,Q14#2_4,Q14#2_5,Q14#2_6,Q17#1_1,Q17#1_2,Q17#1_3,Q17#1_4,Q17#1_5,Q17#1_6,Q17#2_1,Q17#2_2,Q17#2_3,Q17#2_4,Q17#2_5,Q17#2_6,Q6,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_6_TEXT,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_6_TEXT,Q18,disease,unique_code,Create New Field or Choose From Dropdown...
2021-12-03 11:20:35,2021-12-03 11:21:55,IP Address,72.49.222.162,100,80,True,2021-12-03 11:21:56,R_2UfHXg2bHrw35hI,,,,,39.0735015869140625,-84.367401123046875,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.183,31.364,32.414,23,Permissible,Permissible,Permissible,Permissible,Unsure,Permissible,Permissible,Unsure,Unsure,Not Permissible,Permissible,Not Permissible,Permissible,,Permissible,Permissible,,,Unsure,,Unsure,Permissible,,,2002,,Female,,,,,,White,Black or African American,,,,,,,acute schizophrenia,582608,
2021-12-03 11:17:04,2021-12-03 11:24:22,IP Address,72.49.24.222,100,438,True,2021-12-03 11:24:23,R_DofrAuXnqUJVtJf,,,,,39.10589599609375,-84.50469970703125,anonymous,EN,25.5,107.156,107.94,27,Not permissible,Permissible,Permissible,Permissible,Unsure,Permissible,Not Permissible,Permissible,Permissible,Permissible,Not Permissible,Permissible,,Permissible,Permissible,,Unsure,,,Permissible,Permissible,,Not Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,Male,,,,,,,White,,,,,,,"The AI industry is growing rapidly but the trust and knowledge of an elderly person normally sits with the past. It is hard for many elderly individuals to learn how to use a smartphone, let alone listen to a robot that in their heads is a lifeless machine.",mild anxiety,546043,
2021-12-03 11:29:50,2021-12-03 11:33:40,IP Address,24.26.39.181,100,230,True,2021-12-03 11:33:40,R_1eQrQWPq7TqiNke,,,,,39.024993896484375,-84.43920135498046875,anonymous,EN,0.62,100.215,101.416,37,Permissible,Permissible,Permissible,Permissible,Not permissible,Not permissible,Permissible,Permissible,Permissible,Permissible,Not Permissible,Not Permissible,Permissible,,Permissible,,,Not permissible,Permissible,,Permissible,,,Not Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,Male,,,,,,,White,,,,,,,"Even though I believe a robot is technically capable of admistering medications, It is not very compassionate and would probably be more anxiety producing for an old man.",mild anxiety,255523,
2021-12-03 11:36:26,2021-12-03 11:37:59,IP Address,129.137.96.18,100,92,True,2021-12-03 11:37:59,R_28D5tahkVGlKGcy,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.309,42.331,43.549,22,Permissible,Permissible,Not permissible,Not permissible,Unsure,Permissible,Unsure,Unsure,Not Permissible,Unsure,Not Permissible,Permissible,,Permissible,Permissible,,Unsure,,,Not Permissible,Unsure,,Unsure,,2002,,Female,,,,,,White,,,,,,,,migraine,210438,
2021-12-03 12:42:17,2021-12-03 12:44:19,IP Address,24.106.123.19,100,121,True,2021-12-03 12:44:19,R_43cafiyQMWHA8cp,,,,,40.724395751953125,-84.085601806640625,anonymous,EN,29.401,70.635,73.589,12,Not permissible,Permissible,Permissible,Permissible,Unsure,Unsure,Unsure,Permissible,Permissible,Permissible,Unsure,Unsure,Not permissible,,Permissible,Permissible,,,Unsure,,Permissible,Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,,Female,,,,,,,Black or African American,,,,,,,mild anxiety,967056,
2021-12-03 12:55:02,2021-12-03 12:57:36,IP Address,129.137.96.19,100,154,True,2021-12-03 12:57:37,R_1gzoOqsLKbnCm8U,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.154,80.559,81.398,14,Not permissible,Permissible,Permissible,Permissible,Unsure,Unsure,Unsure,Permissible,Permissible,Permissible,Unsure,Unsure,,,Permissible,Permissible,Unsure,,,,Permissible,Permissible,Unsure,,2002,Male,,,,,,,White,,,,,,,"It was a very interesting sutdy. ",migraine,172184,
2021-12-03 12:57:45,2021-12-03 12:59:26,IP Address,129.137.96.19,100,101,True,2021-12-03 12:59:26,R_3FJ7KwOmGb8U9vZ,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,4.406,44.221,44.889,14,Not permissible,Permissible,Permissible,Permissible,Permissible,Permissible,Not Permissible,Permissible,Permissible,Permissible,Unsure,Unsure,Not permissible,,Permissible,Permissible,,,Not Permissible,,Permissible,Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,Male,,,,,,,White,,,,,,,,mild anxiety,165852,
2021-12-03 14:34:40,2021-12-03 14:36:02,IP Address,129.137.96.8,100,81,True,2021-12-03 14:36:02,R_pcK6XfzIZEdd2Ip,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,17.498,43.386,44.361,13,Unsure,Permissible,Permissible,Permissible,Not permissible,Not permissible,Not Permissible,Permissible,Permissible,Permissible,Not Permissible,Not Permissible,Not permissible,Permissible,,,Not permissible,,Not Permissible,Permissible,,,Not Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,Male,,,,,,,White,,,,,,,,migraine,831411,
2021-12-03 14:39:55,2021-12-03 14:43:17,IP Address,129.137.96.9,100,202,True,2021-12-03 14:43:18,R_1PZR4Q0Gad9RgQI,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.941,60.164,61.128,38,Not permissible,Permissible,Permissible,Permissible,Not permissible,Permissible,Not Permissible,Permissible,Permissible,Permissible,Not Permissible,Permissible,Not permissible,Permissible,,,,Permissible,Not Permissible,Permissible,,,,Permissible,2003,Male,,,,,,,,Black or African American,,,,,,,acute schizophrenia,629275,
2021-12-03 15:41:20,2021-12-03 15:42:59,IP Address,129.137.96.1,100,98,True,2021-12-03 15:42:59,R_2VpRCp1oSC68Qe2,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,29.629,58.629,59.598,12,Permissible,Permissible,Permissible,Permissible,Not permissible,Not permissible,Unsure,Permissible,Permissible,Permissible,Not Permissible,Not Permissible,,,Permissible,Permissible,Unsure,,,,Not Permissible,Permissible,Not Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,Male,,,,,,,White,,,,,,,,migraine,674357,
2021-12-03 15:54:41,2021-12-03 15:59:06,IP Address,74.83.110.128,100,264,True,2021-12-03 15:59:06,R_308mlLW4MwAGyFY,,,,,39.139007568359375,-84.42960357666015625,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.142,63.338,64.219,12,Not permissible,Permissible,Permissible,Permissible,Permissible,Permissible,Not Permissible,Permissible,Permissible,Permissible,Unsure,Permissible,,,,Permissible,Permissible,Permissible,,,,Permissible,Unsure,Permissible,2002,Male,,,,,,,White,,,,,,,Surprised it wasn't longer but a robot should obviously be able to do less due to a lack of compassion and understanding,acute schizophrenia,951111,
2021-12-03 16:21:11,2021-12-03 16:23:06,IP Address,208.102.163.222,100,115,True,2021-12-03 16:23:06,R_2QKxEb2DwnLfgjQ,,,,,39.124603271484375,-84.48670196533203125,anonymous,EN,28.405,65.336,66.176,16,Permissible,Permissible,Permissible,Permissible,Not permissible,Not permissible,Permissible,Permissible,Permissible,Permissible,Not Permissible,Not Permissible,Permissible,,Permissible,Permissible,,,Permissible,,Permissible,Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,Male,,,,,,,White,,,,,,,,migraine,317602,
2021-12-03 16:49:48,2021-12-03 16:57:37,IP Address,129.137.96.1,100,469,True,2021-12-03 16:57:37,R_xl8zPkm1i23EJRT,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.016,116.37,118.913,14,Not permissible,Unsure,Permissible,Permissible,Unsure,Permissible,Permissible,Permissible,Permissible,Permissible,Not Permissible,Permissible,Not permissible,,,,Unsure,Permissible,Permissible,,,,Not Permissible,Permissible,2002,,Female,,,,,,White,,,,,,,,mild anxiety,194441,
2021-12-03 16:57:57,2021-12-03 16:59:56,IP Address,129.137.96.31,100,119,True,2021-12-03 16:59:56,R_3rJpfi3QZptSy8s,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.975,68.015,69.216,12,Unsure,Permissible,Permissible,Permissible,Not permissible,Permissible,Unsure,Permissible,Permissible,Permissible,Not Permissible,Permissible,Unsure,,,,Not permissible,Unsure,Unsure,,,,Not Permissible,Unsure,2003,Male,,,,,,,White,,,,,,,,acute schizophrenia,848686,
2021-12-03 20:42:11,2021-12-03 20:43:47,IP Address,75.81.229.129,100,95,True,2021-12-03 20:43:47,R_2UXViVYwLdeL6nC,,,,,39.07879638671875,-84.70240020751953125,anonymous,EN,1.204,51.647,52.511,64,Permissible,Permissible,Unsure,Permissible,Unsure,Not permissible,Unsure,Unsure,Permissible,Permissible,Not Permissible,Not Permissible,,,Unsure,Permissible,Unsure,,,,Permissible,Permissible,Not Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,,Female,,,,,,White,,,,,,,,migraine,333325,
2021-12-03 20:52:15,2021-12-03 20:54:46,IP Address,72.49.231.220,100,151,True,2021-12-03 20:54:46,R_1r7hlinAn0zCcqZ,,,,,39.1190948486328125,-84.3489990234375,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.225,62.889,70.783,13,Not permissible,Permissible,Permissible,Permissible,Not permissible,Permissible,Not Permissible,Not Permissible,Permissible,Permissible,Not Permissible,Permissible,,Permissible,,Permissible,Not permissible,,,Not Permissible,,Permissible,Not Permissible,,2002,Male,,,,,,,White,,,,,,,,migraine,754335,
2021-12-03 20:56:38,2021-12-03 20:58:33,IP Address,174.102.16.124,100,115,True,2021-12-03 20:58:34,R_3PY5SbCai7InQfK,,,,,39.3433990478515625,-84.40090179443359375,anonymous,EN,24.408,59.869,60.745,13,Permissible,Permissible,Permissible,Permissible,Unsure,Unsure,Not Permissible,Permissible,Unsure,Unsure,Not Permissible,Not Permissible,Permissible,Permissible,,Permissible,,,Unsure,Permissible,,Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,,Female,,,,,,White,,,,,,,,acute schizophrenia,391410,
