V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,MTurkCode,Q31,A1_1_Rob_Anx_Accept,A1_2_Rob_Sciz_Accept,A1_3_Rob_Anx_Force,A1_4_Rob_Sciz_Force,A1_5_Perca_Anx_Accept,A1_6_Perca_Sciz_Accept,A1_7_Perca_Anx_Force,A1_8_Perca_Sciz_Force,Ethical1_Robot_1,Ethical1_Perscare_1,CQ1,CQ2,CQ3,A2_1_Rob_Anx_Accept,A2_2_Rob_Sciz_Accept,A2_3_Rob_Anx_Force,A2_4_Rob_Sciz_Force,A2_5_Perca_Anx_Accept,A2_6_Perca_Sciz_Accept,A2_7_Perca_Anx_Force,A2_8_Perca_Sciz_Force,Ethical2_Robot_1,Ethical2_Perscare_1,Gender,BirthYear,occupation,LocationLatitude,LocationLongitude,LocationAccuracy
R_08Q0JloACQNLCWB,Default Response Set,Anonymous, , ,66.147.105.33,0,4/24/2018 16:38:35,4/24/2018 16:39:31,1,83194071,1, ,1, , , , , , ,-3, ,1,1,4, , , , , ,1, , , ,-3,0,1988,2,33.882202148438,-84.378303527832,-1
R_3IYaIQ1HA9uoIN4,Default Response Set,Anonymous, , ,68.60.237.138,0,4/24/2018 16:38:11,4/24/2018 16:39:32,1,72084463,1,1, , , , , , , ,2, ,1,1,1, , , , ,1, , , , ,2,1,1977,6,39.840103149414,-86.054801940918,-1
R_1JIuayXdgcCyf1u,Default Response Set,Anonymous, , ,74.137.135.146,0,4/24/2018 16:38:09,4/24/2018 16:39:33,1,77499578,1, , , , , , ,1, , ,2,0,0,1, , ,1, , , , , ,2, ,1,1985,3,38.32829284668,-85.695701599121,-1
R_2abIUC5Q690ffm5,Default Response Set,Anonymous, , ,24.113.54.27,0,4/24/2018 16:37:48,4/24/2018 16:39:34,1,36338664,1,1, , , , , , , ,0, ,1,1,1, , , , ,1, , , , ,0,1,1971,5,47.570999145508,-122.75680541992,-1
R_2dvjqrykvkUuLVa,Default Response Set,Anonymous, , ,97.95.91.72,0,4/24/2018 16:38:20,4/24/2018 16:39:38,1,83024593,1, , , ,1, , , , ,2, ,1,0,4, , , , , , , ,1, ,1,1,1994,2,46.482299804688,-90.153999328613,-1
R_2wACZcKg7jm1daJ,Default Response Set,Anonymous, , ,173.218.64.86,0,4/24/2018 16:38:09,4/24/2018 16:39:44,1,41566039,1, ,1, , , , , , ,-3, ,1,1,4, , , , , ,1, , , ,-3,0,1991,3,37.027099609375,-93.319297790527,-1
R_2QlaScRVb09QRd9,Default Response Set,Anonymous, , ,200.139.70.228,0,4/24/2018 16:38:07,4/24/2018 16:39:45,1,35653088,1, , , , , ,1, , , ,-2,0,1,4, ,1, , , , , , ,-2, ,1,1975,3,-22.875106811523,-43.277496337891,-1
R_Cf97bB7c6ssnu3D,Default Response Set,Anonymous, , ,162.17.213.102,0,4/24/2018 16:37:56,4/24/2018 16:39:48,1,92385871,1, , ,1, , , , , ,-1, ,1,0,1, , , , , , ,1, , ,0,1,1996,1,39.003204345703,-77.160202026367,-1
R_2VDgzr7U444LCuv,Default Response Set,Anonymous, , ,208.69.133.77,0,4/24/2018 16:38:16,4/24/2018 16:39:51,1,48000036,1, , , , , , , ,1, ,0,0,0,4, , , ,1, , , , ,0, ,1,1987,2,35.207702636719,-80.860000610352,-1
R_1plnWzExjcPmdlc,Default Response Set,Anonymous, , ,122.165.170.177,0,4/24/2018 16:38:09,4/24/2018 16:39:52,1,20444138,1, ,1, , , , , , ,1, ,1,0,2, , , , , ,1, , , ,1,1,1987,3,9.9333038330078,78.11669921875,-1
R_QbwAXiwr0PQrcI1,Default Response Set,Anonymous, , ,50.107.73.163,0,4/24/2018 16:38:25,4/24/2018 16:39:54,1,10927679,1,1, , , , , , , ,0, ,1,1,1, , , , ,1, , , , ,0,0,1981,3,43.248596191406,-86.138298034668,-1
R_2v1CMHSapg2vRDy,Default Response Set,Anonymous, , ,23.95.130.220,0,4/24/2018 16:38:40,4/24/2018 16:39:57,1,50506114,1, , , , , , ,1, , ,2,1,1,3, , ,1, , , , , ,3, ,1,1993,3,42.88639831543,-78.87809753418,-1
R_2PjunXcUDMq8tiO,Default Response Set,Anonymous, , ,65.25.44.236,0,4/24/2018 16:38:13,4/24/2018 16:40:04,1,24045115,1, , , , , ,1, , , ,-1,0,1,4, ,1, , , , , , ,0, ,1,1979,2,41.315200805664,-81.440498352051,-1
R_1F9Wq3YN7HpWm9B,Default Response Set,Anonymous, , ,148.75.164.241,0,4/24/2018 16:38:51,4/24/2018 16:40:04,1,70489002,1,1, , , , , , , ,1, ,1,1,1, , , , ,1, , , , ,1,1,1985,2,41.144897460938,-73.342796325684,-1
R_9zQAeRymf5VCbjr,Default Response Set,Anonymous, , ,73.6.203.118,0,4/24/2018 16:38:36,4/24/2018 16:40:04,1,81196746,1, , , ,1, , , , ,1, ,1,0,4, , , , , , , ,1, ,2,1,1995,6,29.839004516602,-95.146202087402,-1
R_2U0kROM30Qa1mVG,Default Response Set,Anonymous, , ,68.40.38.242,0,4/24/2018 16:38:36,4/24/2018 16:40:05,1,69578752,1, , , , , , , ,1, ,1,0,0,4, , , ,1, , , , ,1, ,0,1968,2,42.219604492188,-83.604598999023,-1
R_qRbp0ymcS9nDVAJ,Default Response Set,Anonymous, , ,50.82.73.90,0,4/24/2018 16:38:12,4/24/2018 16:40:05,1,36929665,1, , , , ,1, , , , ,2,0,1,1,1, , , , , , , ,1, ,0,1954,4,37.218994140625,-93.317596435547,-1
R_272PZR4ATJyqV9k,Default Response Set,Anonymous, , ,216.244.82.210,0,4/24/2018 16:39:08,4/24/2018 16:40:05,1,31452748,1,1, , , , , , , ,-3, ,1,1,1, , , , ,1, , , , ,-3,1,1990,3,47.489105224609,-122.29080200195,-1
R_qK0vwyaF86TBkFr,Default Response Set,Anonymous, , ,107.172.195.110,0,4/24/2018 16:38:59,4/24/2018 16:40:08,1,50903189,1, , , , , ,1, , , ,2,0,0,2, ,1, , , , , , ,2, ,1,1988,2,42.88639831543,-78.87809753418,-1
R_3HFewE2eVqRX4p8,Default Response Set,Anonymous, , ,73.27.201.99,0,4/24/2018 16:38:14,4/24/2018 16:40:09,1,52172018,1,1, , , , , , , ,3, ,1,1,1, , , , ,1, , , , ,3,0,1955,2,27.241897583008,-81.356399536133,-1
R_24odjGexydFEoxc,Default Response Set,Anonymous, , ,104.0.74.90,0,4/24/2018 16:38:18,4/24/2018 16:40:11,1,96093440,1, , , , , , , ,1, ,1,1,0,4, , , ,1, , , , ,2, ,1,1990,3,32.604202270508,-96.865303039551,-1
R_5nkxyzNA8YLvH9f,Default Response Set,Anonymous, , ,71.197.157.206,0,4/24/2018 16:39:14,4/24/2018 16:40:13,1,49543991,1, , , , , ,1, , , ,-2,0,1,4, ,1, , , , , , ,-2, ,1,1992,3,47.177093505859,-122.18650054932,-1
R_40lkO51BykTcGFX,Default Response Set,Anonymous, , ,160.79.139.10,0,4/24/2018 16:39:11,4/24/2018 16:40:14,1,83049289,1, , ,1, , , , , ,-3, ,1,0,1, , , , , , ,1, , ,-3,0,1988,2,42.248504638672,-71.765602111816,-1
R_3Rn3YK4BzsCF74C,Default Response Set,Anonymous, , ,107.77.236.166,0,4/24/2018 16:38:24,4/24/2018 16:40:17,1,33915264,1, , ,1, , , , , ,0, ,1,1,1, , , , , , ,1, , ,-2,0,1990,2,37.751007080078,-97.821998596191,-1
R_3rU83TBWBO5GY2W,Default Response Set,Anonymous, , ,66.188.55.188,0,4/24/2018 16:39:09,4/24/2018 16:40:21,1,22674228,1, , , , , ,1, , , ,-1,0,1,4, ,1, , , , , , ,-1, ,1,1985,3,42.44140625,-83.654197692871,-1
R_2di3EDVM4FKbu8g,Default Response Set,Anonymous, , ,73.120.107.149,0,4/24/2018 16:38:21,4/24/2018 16:40:23,1,28083151,1, , , , , ,1, , , ,0,0,1,4, ,1, , , , , , ,0, ,0,1987,2,36.265197753906,-82.833999633789,-1
R_29mKvfxHfo3dHEF,Default Response Set,Anonymous, , ,184.164.146.26,0,4/24/2018 16:39:34,4/24/2018 16:40:24,1,63440013,1, ,1, , , , , , ,2, ,1,0,3, , , , , ,1, , , ,3,1,1987,2,37.751007080078,-97.821998596191,-1
R_31BI8nv3tMwKoom,Default Response Set,Anonymous, , ,98.245.66.27,0,4/24/2018 16:37:58,4/24/2018 16:40:25,1,60273813,1, , , , ,1, , , , ,1,0,1,1,1, , , , , , , ,0, ,1,1987,1,39.774703979492,-105.10330200195,-1
R_1pESDTuNy5w918D,Default Response Set,Anonymous, , ,71.45.40.170,0,4/24/2018 16:38:47,4/24/2018 16:40:28,1,34020863,1,1, , , , , , , ,3, ,1,1,1, , , , ,1, , , , ,2,1,1989,2,33.493499755859,-86.80460357666,-1
R_3Hn3xgaaC30XVcT,Default Response Set,Anonymous, , ,98.116.87.67,0,4/24/2018 16:39:11,4/24/2018 16:40:29,1,53997935,1, ,1, , , , , , ,3, ,1,1,4, , , , , ,1, , , ,3,0,1993,3,40.766998291016,-73.525398254395,-1
R_22X2Qe6L78jTkww,Default Response Set,Anonymous, , ,73.92.5.208,0,4/24/2018 16:39:01,4/24/2018 16:40:29,1,35044698,1, , , ,1, , , , ,-2, ,1,0,4, , , , , , , ,1, ,-2,0,1983,2,38.350692749023,-121.93260192871,-1
R_2PkjrTAIMYItU3M,Default Response Set,Anonymous, , ,24.28.27.216,0,4/24/2018 16:38:26,4/24/2018 16:40:29,1,38285608,1,1, , , , , , , ,0, ,1,1,1, , , , ,1, , , , ,2,0,1982,5,30.499801635742,-97.808197021484,-1
R_1KkiSV62ALgkR6w,Default Response Set,Anonymous, , ,73.165.184.111,0,4/24/2018 16:38:26,4/24/2018 16:40:30,1,84849710,1, , , , , ,1, , , ,-3,0,1,4, ,1, , , , , , ,0, ,0,1948,3,40.226196289062,-75.293098449707,-1
R_1qXurZUMxLeZns1,Default Response Set,Anonymous, , ,71.51.235.103,0,4/24/2018 16:39:12,4/24/2018 16:40:30,1,20925256,1, ,1, , , , , , ,2, ,1,0,3, , , , , ,1, , , ,2,1,1981,2,35.370895385742,-77.39990234375,-1
R_0ktgcpYaKeVOT7j,Default Response Set,Anonymous, , ,172.98.85.15,0,4/24/2018 16:39:03,4/24/2018 16:40:32,1,73210415,1, , , ,1, , , , ,1, ,1,0,4, , , , , , , ,1, ,1,1,1983,2,33.748001098633,-84.385803222656,-1
R_xG8dA49zR74Lr5n,Default Response Set,Anonymous, , ,128.118.152.250,0,4/24/2018 16:39:00,4/24/2018 16:40:34,1,49771064,1, , , ,1, , , , ,-2, ,1,0,4, , , , , , , ,1, ,-3,0,1987,2,40.784896850586,-77.84700012207,-1
R_1mPHYg4mnb7F86n,Default Response Set,Anonymous, , ,73.82.161.109,0,4/24/2018 16:38:57,4/24/2018 16:40:35,1,47050520,1, , , , , , ,1, , ,2,0,0,1, , ,1, , , , , ,1, ,0,1994,3,34.001693725586,-84.471000671387,-1
R_tYYEn7uGPJ31SGl,Default Response Set,Anonymous, , ,148.64.39.165,0,4/24/2018 16:38:20,4/24/2018 16:40:37,1,84800299,1, , , , , , ,1, , ,-2,0,0,1, , ,1, , , , , ,0, ,0,1954,2,32.266006469727,-99.534202575684,-1
R_2bZQeJiieKk213W,Default Response Set,Anonymous, , ,68.63.164.6,0,4/24/2018 16:39:47,4/24/2018 16:40:38,1,2842524,1, ,1, , , , , , ,-3, ,1,1,4, , , , , ,1, , , ,-3,1,1985,2,36.007507324219,-83.989601135254,-1
R_122SreHvAAY19zD,Default Response Set,Anonymous, , ,69.85.215.113,0,4/24/2018 16:38:59,4/24/2018 16:40:38,1,66876500,1, ,1, , , , , , ,0, ,1,1,4, , , , , ,1, , , ,0,0,1990,2,30.696594238281,-88.173698425293,-1
R_1DTg9SDo1gveNMD,Default Response Set,Anonymous, , ,192.241.68.245,0,4/24/2018 16:39:01,4/24/2018 16:40:39,1,53629195,1, , , , ,1, , , , ,3,0,0,2,1, , , , , , , ,1, ,1,1934,2,36.852996826172,-76.288200378418,-1
R_3dN9pWW9CZ9Iwsx,Default Response Set,Anonymous, , ,67.246.65.231,0,4/24/2018 16:38:18,4/24/2018 16:40:42,1,66867021,1, , ,1, , , , , ,1, ,1,0,1, , , , , , ,1, , ,0,1,1983,1,43.074401855469,-75.211700439453,-1
R_31ZBkWEJrLRwPLr,Default Response Set,Anonymous, , ,72.80.129.230,0,4/24/2018 16:39:33,4/24/2018 16:40:43,1,28654998,1,1, , , , , , , ,-3, ,1,1,1, , , , ,1, , , , ,0,1,1994,2,40.787292480469,-73.811302185059,-1
R_0BMstpSQRXJr1zb,Default Response Set,Anonymous, , ,174.255.132.38,0,4/24/2018 16:39:19,4/24/2018 16:40:44,1,28438666,1, , ,1, , , , , ,-3, ,1,0,1, , , , , , ,1, , ,-3,1,1989,2,37.751007080078,-97.821998596191,-1
R_12EfnFUu3nosbEN,Default Response Set,Anonymous, , ,173.19.196.229,0,4/24/2018 16:39:03,4/24/2018 16:40:44,1,70700436,1, ,1, , , , , , ,3, ,1,1,4, , , , , ,1, , , ,2,0,1987,5,37.148895263672,-93.26139831543,-1
R_1jlcgmmg7P4eyCS,Default Response Set,Anonymous, , ,73.61.181.209,0,4/24/2018 16:38:59,4/24/2018 16:40:45,1,8324484,1, , , , , , , ,1, ,1,0,0,4, , , ,1, , , , ,0, ,0,1985,3,42.51530456543,-70.907501220703,-1
R_BFbxuN5M1UUKknL,Default Response Set,Anonymous, , ,205.156.136.229,0,4/24/2018 16:39:46,4/24/2018 16:40:46,1,36707588,1, , , , , ,1, , , ,0,0,1,4, ,1, , , , , , ,0, ,0,1987,2,40.760498046875,-73.993301391602,-1
R_1EaH3SFJJ30BnRb,Default Response Set,Anonymous, , ,63.151.141.158,0,4/24/2018 16:38:48,4/24/2018 16:40:48,1,1317022,1, , , , , , ,1, , ,-1,0,0,1, , ,1, , , , , ,0, ,1,1981,3,36.635498046875,-88.282997131348,-1
R_29dc3YdIfRMGC2t,Default Response Set,Anonymous, , ,73.152.164.42,0,4/24/2018 16:38:58,4/24/2018 16:40:49,1,87019422,1, , ,1, , , , , ,-2, ,1,0,1, , , , , , ,1, , ,-2,0,1987,3,37.953903198242,-78.3583984375,-1
R_12Jbz2d8WfJtSvf,Default Response Set,Anonymous, , ,174.208.2.240,0,4/24/2018 16:39:00,4/24/2018 16:40:51,1,36120191,1, , , , , , , ,1, ,1,0,0,4, , , ,1, , , , ,1, ,1,1987,2,40.760803222656,-111.89109802246,-1
R_3sdbFE3J5Xe8isq,Default Response Set,Anonymous, , ,174.223.7.144,0,4/24/2018 16:38:32,4/24/2018 16:40:55,1,44010353,1,1, , , , , , , ,1, ,1,1,1, , , , ,1, , , , ,2,0,1987,2,32.391998291016,-86.241500854492,-1
R_2Eb0eY4x6jlvBwV,Default Response Set,Anonymous, , ,104.153.159.50,0,4/24/2018 16:38:46,4/24/2018 16:40:55,1,26117990,1, , , , , ,1, , , ,-2,0,1,4, ,1, , , , , , ,0, ,0,1978,2,36.925094604492,-93.919700622559,-1
R_OPfZdZPeJiYXdSN,Default Response Set,Anonymous, , ,198.140.4.205,0,4/24/2018 16:39:36,4/24/2018 16:40:56,1,7995244,1, , , , , ,1, , , ,-2,0,1,4, ,1, , , , , , ,-2, ,0,1977,2,39.952301025391,-75.163803100586,-1
R_20T1pOBye6W8Ioe,Default Response Set,Anonymous, , ,107.77.192.32,0,4/24/2018 16:38:34,4/24/2018 16:40:57,1,9916511,1, , , , , , , ,1, ,2,0,0,4, , , ,1, , , , ,1, ,0,1965,2,39.717102050781,-84.133102416992,-1
R_1DSg55U1FmhYzoX,Default Response Set,Anonymous, , ,141.214.17.242,0,4/24/2018 16:39:49,4/24/2018 16:41:03,1,59282572,1, , , , , , , ,1, ,2,0,0,4, , , ,1, , , , ,2, ,1,1985,2,42.324096679688,-83.711303710938,-1
R_24AuK0ZONQsprml,Default Response Set,Anonymous, , ,12.18.78.114,0,4/24/2018 16:39:41,4/24/2018 16:41:05,1,20461610,1, , , ,1, , , , ,-1, ,1,0,4, , , , , , , ,1, ,-1,1,1991,2,32.924499511719,-96.893798828125,-1
R_2Spq3XTUpWyV9F2,Default Response Set,Anonymous, , ,104.236.195.72,0,4/24/2018 16:40:09,4/24/2018 16:41:06,1,622408,1, , , , , , , ,1, ,2,0,0,3, , , ,1, , , , ,2, ,1,1990,2,40.832595825195,-74.130699157715,-1
R_2EjdL2FsFOkUjG1,Default Response Set,Anonymous, , ,173.17.220.94,0,4/24/2018 16:38:36,4/24/2018 16:41:10,1,86800525,1, ,1, , , , , , ,0, ,1,1,4, , , , , ,1, , , ,-3,1,1978,3,41.334594726562,-85.021697998047,-1
R_1Fs4V3fyq676KHO,Default Response Set,Anonymous, , ,70.60.202.70,0,4/24/2018 16:40:16,4/24/2018 16:41:13,1,825490,1, , , , , ,1, , , ,-3,0,1,4, ,1, , , , , , ,-3, ,1,1978,3,35.33659362793,-80.795799255371,-1
R_2VluJq2qfmNk4bW,Default Response Set,Anonymous, , ,174.218.0.187,0,4/24/2018 16:39:56,4/24/2018 16:41:14,1,84391457,1, , , , , , ,1, , ,-3,0,0,1, , ,1, , , , , ,-3, ,0,1990,2,33.811004638672,-84.286903381348,-1
R_RPRPxLtmkzHoUJb,Default Response Set,Anonymous, , ,99.203.30.198,0,4/24/2018 16:39:53,4/24/2018 16:41:14,1,97020041,1, , , , ,1, , , , ,2,0,1,1,1, , , , , , , ,2, ,0,1983,5,25.890396118164,-80.239196777344,-1
R_r3IOz52bZieg0XT,Default Response Set,Anonymous, , ,71.197.160.59,0,4/24/2018 16:38:32,4/24/2018 16:41:14,1,29953131,1, , , , , ,1, , , ,-3,0,1,4, ,1, , , , , , ,0, ,0,1968,2,47.680099487305,-122.12060546875,-1
R_RCcl9mVZJHwJXz3,Default Response Set,Anonymous, , ,173.191.32.186,0,4/24/2018 16:38:21,4/24/2018 16:41:17,1,97206318,1, , , , ,1, , , , ,-2,0,1,1,1, , , , , , , ,0, ,1,1947,4,35.106292724609,-80.71199798584,-1
R_wNWp3MTCoC4w1bP,Default Response Set,Anonymous, , ,174.217.16.34,0,4/24/2018 16:38:45,4/24/2018 16:41:19,1,19424071,1, , , , ,1, , , , ,-1,0,1,1,1, , , , , , , ,-1, ,1,1963,2,41.306900024414,-96.106399536133,-1
R_2csslgqgzt5yzyV,Default Response Set,Anonymous, , ,67.181.212.84,0,4/24/2018 16:39:30,4/24/2018 16:41:20,1,51875746,1,1, , , , , , , ,1, ,1,1,1, , , , ,1, , , , ,2,1,1987,3,36.741104125977,-119.74990081787,-1
R_WBvvq5JHj7RSE37,Default Response Set,Anonymous, , ,45.47.32.189,0,4/24/2018 16:40:37,4/24/2018 16:41:24,1,40587499,1, , ,1, , , , , ,0, ,1,0,4, , , , , , ,1, , ,-3,1,1984,2,43.153198242188,-76.211601257324,-1
R_2zr0nMjPLIfgYrt,Default Response Set,Anonymous, , ,72.33.2.87,0,4/24/2018 16:39:26,4/24/2018 16:41:26,1,72928756,1, , , , , , ,1, , ,-3,0,0,1, , ,1, , , , , ,0, ,0,1973,2,43.073104858398,-89.40119934082,-1
R_2WN0tlbevYdZ0XI,Default Response Set,Anonymous, , ,24.96.234.72,0,4/24/2018 16:38:32,4/24/2018 16:41:29,1,9176382,1, , , , , , , ,1, ,0,0,0,4, , , ,1, , , , ,0, ,0,1975,2,28.008697509766,-82.745399475098,-1
R_1gwMBxeJN6faXNb,Default Response Set,Anonymous, , ,209.105.139.226,0,4/24/2018 16:40:01,4/24/2018 16:41:31,1,43713733,1, , , , ,1, , , , ,-3,0,1,1,1, , , , , , , ,0, ,1,1993,2,30.289306640625,-84.990699768066,-1
R_2E0ItLwv1x5eF2M,Default Response Set,Anonymous, , ,4.15.235.26,0,4/24/2018 16:38:25,4/24/2018 16:41:32,1,17943060,1, ,1, , , , , , ,1, ,1,1,4, , , , , ,1, , , ,-1,1,1979,2,38.874893188477,-77.032501220703,-1
R_3flfpuPb93fzT5X,Default Response Set,Anonymous, , ,190.104.221.139,0,4/24/2018 16:39:24,4/24/2018 16:41:33,1,70967142,1, , , , , , ,1, , ,0,0,0,1, , ,1, , , , , ,-3, ,0,1965,2,-34.766693115234,-58.400001525879,-1
R_10ximGnXqW2wfoS,Default Response Set,Anonymous, , ,148.75.30.213,0,4/24/2018 16:39:31,4/24/2018 16:41:36,1,37515711,1, , ,1, , , , , ,-2, ,1,0,1, , , , , , ,1, , ,-3,1,1982,2,40.787902832031,-74.010200500488,-1
R_2z5tNcRvFPnRAXw,Default Response Set,Anonymous, , ,38.104.212.98,0,4/24/2018 16:40:44,4/24/2018 16:41:39,1,55196351,1,1, , , , , , , ,3, ,1,1,1, , , , ,1, , , , ,3,1,1991,2,41.394607543945,-95.897102355957,-1
R_2s0SIiYldP4Xgcy,Default Response Set,Anonymous, , ,172.245.185.139,0,4/24/2018 16:40:31,4/24/2018 16:41:39,1,2387921,1, , , ,1, , , , ,2, ,0,0,2, , , , , , , ,1, ,2,1,1990,3,42.88639831543,-78.87809753418,-1
R_3GoFa8zckPQmYm9,Default Response Set,Anonymous, , ,23.254.167.136,0,4/24/2018 16:40:51,4/24/2018 16:41:41,1,8696432,1, , ,1, , , , , ,3, ,1,0,4, , , , , , ,1, , ,3,1,1988,2,47.489105224609,-122.29080200195,-1
R_2BlkUqnNNWs4RUX,Default Response Set,Anonymous, , ,24.211.96.104,0,4/24/2018 16:39:42,4/24/2018 16:41:42,1,26661911,1, , , , , ,1, , , ,3,0,1,4, ,1, , , , , , ,-3, ,0,1992,2,32.964706420898,-80.201499938965,-1
R_11cGz3Y3mAVjgSk,Default Response Set,Anonymous, , ,64.250.12.111,0,4/24/2018 16:38:41,4/24/2018 16:41:42,1,8963492,1, , , , , , ,1, , ,-1,0,0,1, , ,1, , , , , ,-1, ,0,1969,3,29.347305297852,-98.100898742676,-1
